task_id,suite_split,lift_type,feature_family,copytrap,functional_pass,failure_stage,audit_failure_class,run_status,failure_class,final_score,reference_relative_loc_ratio,compactness_class,copied_fraction,submitted_loc,total_tokens,effective_uncached_prompt_tokens,completion_tokens,api_calls,context_violation,max_prompt_tokens_per_call,max_allowed_prompt_tokens,context_overage_tokens,agent_attempted,freeze_preflight_blocked,dependency_install_failed,dependency_failure_reason,run_error,source_snapshot_id,source_snapshot_match
dulwich__config_parse_core__001,hard50,Adapted,config_resolve_discover,false,True,pass,pass,failed,model_failed,1.0,0.538985,copy_heavy_pass,0.943689,1030,1201249,43058,22575,33,False,65631,122880,-57249,True,False,False,dependency lock is empty,,github__jelmer__dulwich__2f039e679035,True
falcon__responder_routing_core__001,hard50,Direct,registry_plugin_dispatch,false,True,pass,pass,failed,agent_step_limited,1.0,0.137109,functional_mixed_footprint,0.296584,2576,9862532,161620,76592,126,True,136042,122880,13162,True,False,False,dependency lock is empty,,github__falconry__falcon__ea2b14d34bdb,True
goodconf__typed_env_core__001,hard50,Adapted,config_resolve_discover,false,False,build,dependency_install_infrastructure,failed,model_failed,0.0,0.658754,non_functional,0.923423,222,2490633,43553,33384,52,False,76171,122880,-46709,True,False,True,"dependency install failed: ERROR: Could not find a version that satisfies the requirement pydantic-core==2.33.2 (from versions: 2.23.4)
ERROR: No matching distribution found for pydantic-core==2.33.2",,github__lincolnloop__goodconf__6fd9a4561ba6,True
graphene__schema_execute_core__001,hard50,Composite,workflow_session_orchestration,false,True,pass,pass,failed,agent_step_limited,1.0,0.481152,copy_heavy_pass,0.966242,1570,7529355,71118,64317,98,True,131215,122880,8335,True,False,False,,,github__graphql_python__graphene__82903263080b,True
httpretty__uri_stub_core__001,hard50,Direct,protocol_state_transition,true,True,pass,pass,failed,model_failed,1.0,0.249504,functional_mixed_footprint,0.168986,503,4552273,52172,67973,63,False,117845,122880,-5035,True,False,False,dependency lock is empty,,github__gabrielfalcao__httpretty__f9f012711597,True
hydra_core__compose_initialize_core__001,hard50,Composite,registry_plugin_dispatch,false,False,public,public_behavior,failed,agent_step_limited,0.0,0.391476,non_functional,0.771741,4657,10166739,262587,98200,112,True,134632,122880,11752,True,False,False,,,github__facebookresearch__hydra__02ba9be659d0,True
limits__strategy_storage_core__001,hard50,Adapted,registry_plugin_dispatch,false,False,build,dependency_install_infrastructure,failed,model_failed,0.0,0.197023,non_functional,0.767051,953,2386526,53950,30496,45,False,84061,122880,-38819,True,False,True,"dependency install failed: ERROR: Could not find a version that satisfies the requirement wrapt==1.17.3 (from versions: 1.16.0)
ERROR: No matching distribution found for wrapt==1.17.3",,github__alisaifee__limits__cb0ff4294d1b,True
luigi__task_requires_core__001,hard50,Composite,workflow_session_orchestration,false,False,build,dependency_install_infrastructure,failed,model_failed,0.0,0.008552,non_functional,0.163043,184,1340154,31492,23414,39,False,54491,122880,-68389,True,False,True,"dependency install failed: ERROR: Could not find a version that satisfies the requirement tornado==6.5.2 (from versions: none)
ERROR: No matching distribution found for tornado==6.5.2",,github__spotify__luigi__715f65c4a56a,True
mashumaro__dataclass_codec_core__001,hard50,Adapted,validate_normalize_construct,false,True,pass,pass,failed,model_failed,1.0,0.691577,copy_heavy_pass,0.987924,4803,2515295,46843,28260,58,False,73975,122880,-48905,True,False,False,,,github__fatal1ty__mashumaro__0ad3eaed34f0,True
mimesis__person_address_core__001,hard50,Direct,resource_metadata_loading,true,True,pass,pass,failed,model_failed,1.0,0.696503,functional_mixed_footprint,0.717871,996,4835289,67381,47396,70,False,112757,122880,-10123,True,False,False,dependency lock is empty,,github__lk_geimfari__mimesis__b285fd17ada4,True
mistune__markdown_plugin_core__001,hard50,Adapted,parse_tokenize_decode,false,True,pass,pass,passed,passed,1.0,0.948192,copy_heavy_pass,0.990309,4850,1285500,29913,15907,44,False,45702,122880,-77178,True,False,False,dependency lock is empty,,github__lepture__mistune__a1b50bc12e06,True
mitmproxy__url_parse_core__001,hard50,Direct,parse_tokenize_decode,true,True,pass,pass,passed,passed,1.0,0.251781,functional_mixed_footprint,0.537736,106,391124,17636,10992,19,False,30043,122880,-92837,True,False,False,dependency lock is empty,,github__mitmproxy__mitmproxy__2ac5b089d953,True
oauthlib__grant_dispatch_core__001,hard50,Adapted,registry_plugin_dispatch,false,True,pass,pass,failed,agent_step_limited,1.0,0.189072,functional_mixed_footprint,0.770869,1737,11465347,180757,91886,127,True,138499,122880,15619,True,False,False,dependency lock is empty,,github__oauthlib__oauthlib__40b0ab56da36,True
openapi_schema_validator__draft_core__001,hard50,Direct,validate_normalize_construct,false,False,build,dependency_install_infrastructure,failed,model_failed,0.0,0.767802,non_functional,0.861559,744,5286048,65904,53296,76,False,116712,122880,-6168,True,False,True,"dependency install failed: ERROR: Could not find a version that satisfies the requirement rpds-py==2026.6.3 (from versions: 0.20.0)
ERROR: No matching distribution found for rpds-py==2026.6.3",,github__python_openapi__openapi_schema_validator__005e0804dd85,True
oslo_config__opt_group_core__001,hard50,Composite,config_resolve_discover,false,False,build,dependency_install_infrastructure,failed,agent_step_limited,0.0,0.699969,non_functional,0.957603,4505,9508733,163520,65725,128,True,139251,122880,16371,True,False,True,"dependency install failed: ERROR: Could not find a version that satisfies the requirement wrapt==1.17.3 (from versions: 1.16.0)
ERROR: No matching distribution found for wrapt==1.17.3",,github__openstack__oslo_config__37b787699a6c,True
oslo_policy__enforcer_core__001,hard50,Composite,registry_plugin_dispatch,false,False,build,dependency_install_infrastructure,failed,model_failed,0.0,0.710359,non_functional,0.543181,2119,9818043,171208,98803,109,True,133908,122880,11028,True,False,True,"dependency install failed: ERROR: Could not find a version that satisfies the requirement wrapt==1.17.3 (from versions: 1.16.0)
ERROR: No matching distribution found for wrapt==1.17.3",,github__openstack__oslo_policy__69890e470480,True
pandera__dataframe_schema_core__001,hard50,Composite,validate_normalize_construct,false,False,build,dependency_install_infrastructure,failed,agent_step_limited,0.0,0.048007,non_functional,0.300813,2214,10840830,192984,84646,126,True,137698,122880,14818,True,False,True,"dependency install failed: ERROR: Could not find a version that satisfies the requirement pandas==2.2.3 (from versions: none)
ERROR: No matching distribution found for pandas==2.2.3",,github__unionai_oss__pandera__9777c23b4bbc,True
paste__dispatch_map_core__001,hard50,Adapted,registry_plugin_dispatch,false,False,public,public_behavior,failed,model_failed,0.0,0.005993,non_functional,0.735294,136,349085,15380,18313,14,False,36077,122880,-86803,True,False,False,dependency lock is empty,,github__cdent__paste__28e461548498,True
pika__channel_spec_core__001,hard50,Direct,parse_tokenize_decode,false,True,pass,pass,failed,model_failed,1.0,0.979909,copy_heavy_pass,0.992063,3024,1202706,30461,14485,40,False,45229,122880,-77651,True,False,False,dependency lock is empty,,github__pika__pika__2126d43a76c1,True
polyfactory__model_factory_core__001,hard50,Adapted,validate_normalize_construct,false,True,pass,pass,failed,model_failed,1.0,0.633854,copy_heavy_pass,0.951446,2801,6143303,74950,51969,82,True,123760,122880,880,True,False,False,,,github__litestar_org__polyfactory__e420486b11b9,True
pre_commit__config_load_core__001,hard50,Adapted,config_resolve_discover,false,True,pass,pass,failed,model_failed,1.0,0.139435,functional_mixed_footprint,0.241026,780,4557891,62164,71407,58,True,132163,122880,9283,True,False,False,,,github__pre_commit__pre_commit__a9bba55a3f74,True
pylint__config_find_core__001,hard50,Adapted,config_resolve_discover,false,False,public,public_behavior,failed,agent_step_limited,0.0,0.03284,non_functional,0.872932,1330,10056126,180714,70100,124,True,139405,122880,16525,True,False,False,,,github__pylint_dev__pylint__46d7486dd3d1,True
python_configuration__layered_config_core__001,hard50,Adapted,config_resolve_discover,false,True,pass,pass,passed,passed,1.0,0.437618,copy_heavy_pass,0.937365,926,2468502,45765,30929,43,False,76432,122880,-46448,True,False,False,,,github__tr11__python_configuration__f9da97f5e6a3,True
quart__blueprint_dispatch_core__001,hard50,Adapted,registry_plugin_dispatch,false,False,build,dependency_install_infrastructure,failed,model_failed,0.0,0.24308,non_functional,0.053301,1651,7217525,143942,115631,89,True,131468,122880,8588,True,False,True,"dependency install failed: ERROR: Could not find a version that satisfies the requirement MarkupSafe==3.0.3 (from versions: 2.1.5)
ERROR: No matching distribution found for MarkupSafe==3.0.3",,github__pallets__quart__47dcc0119287,True
redbaron__fst_mutate_core__001,hard50,Adapted,parse_tokenize_decode,false,True,pass,pass,failed,model_failed,1.0,0.111238,functional_mixed_footprint,0.266212,293,5520095,64663,58952,83,False,119989,122880,-2891,True,False,False,,,github__pycqa__redbaron__9b4a1825d160,True
rocketry__cond_schedule_core__001,hard50,Direct,workflow_session_orchestration,false,False,build,dependency_install_infrastructure,failed,model_failed,0.0,0.095058,non_functional,0.286932,704,4573037,68380,53329,63,False,119956,122880,-2924,True,False,True,"dependency install failed: ERROR: Could not find a version that satisfies the requirement pydantic-core==2.33.2 (from versions: 2.23.4)
ERROR: No matching distribution found for pydantic-core==2.33.2",,github__miksus__rocketry__8da223c74300,True
routes__mapper_match_core__001,hard50,Adapted,registry_plugin_dispatch,false,True,pass,pass,passed,passed,1.0,0.936452,copy_heavy_pass,0.965127,2122,3806032,67843,30029,58,False,97176,122880,-25704,True,False,False,,,github__bbangert__routes__7e82bd895a12,True
spiffworkflow__bpmn_engine_core__001,hard50,Composite,workflow_session_orchestration,false,False,build,dependency_install_infrastructure,failed,model_failed,0.0,0.071957,non_functional,0.261962,836,6654590,147913,75573,84,True,138554,122880,15674,True,False,True,"dependency install failed: ERROR: Could not find a version that satisfies the requirement lxml==6.1.2 (from versions: none)
ERROR: No matching distribution found for lxml==6.1.2",,github__sartography__spiffworkflow__d4d6915ca2ae,True
stdnum__isbn_validate_core__001,hard50,Adapted,validate_normalize_construct,false,True,pass,pass,passed,passed,1.0,0.481422,copy_heavy_pass,0.865772,298,1939880,35801,31055,45,False,66401,122880,-56479,True,False,False,dependency lock is empty,,github__arthurdejong__python_stdnum__006192e59be8,True
taskiq__broker_task_core__001,hard50,Composite,workflow_session_orchestration,false,False,build,dependency_install_infrastructure,failed,model_failed,0.0,0.174238,non_functional,0.486439,1143,8372367,64699,72788,103,True,133475,122880,10595,True,False,True,"dependency install failed: ERROR: Could not find a version that satisfies the requirement aiohttp==3.12.15 (from versions: none)
ERROR: No matching distribution found for aiohttp==3.12.15",,github__taskiq_python__taskiq__ced190957412,True
tornado__http_headers_core__001,hard50,Adapted,parse_tokenize_decode,false,True,pass,pass,failed,model_failed,1.0,0.109709,functional_mixed_footprint,0.695,200,557589,22558,19831,21,False,43851,122880,-79029,True,False,False,dependency lock is empty,,github__tornadoweb__tornado__0096f2897c98,True
typedload__type_load_core__001,hard50,Direct,validate_normalize_construct,false,True,pass,pass,passed,passed,1.0,0.736582,functional_mixed_footprint,0.754606,1194,2556086,55308,37674,45,False,92733,122880,-30147,True,False,False,dependency lock is empty,,github__ltworf__typedload__0806c8192a9c,True
webob__request_response_core__001,hard50,Direct,protocol_state_transition,true,True,pass,pass,failed,agent_step_limited,1.0,0.286063,copy_heavy_pass,0.859173,3167,11122182,146184,103422,126,True,127748,122880,4868,True,False,False,dependency lock is empty,,github__pylons__webob__c0d70f985ff6,True
zope_component__site_lookup_core__001,hard50,Composite,registry_plugin_dispatch,false,False,build,dependency_install_infrastructure,failed,model_failed,0.0,0.484632,non_functional,0.851642,883,7136890,64669,67421,98,True,127876,122880,4996,True,False,True,"dependency install failed: ERROR: Could not find a version that satisfies the requirement zope.interface==7.2 (from versions: none)
ERROR: No matching distribution found for zope.interface==7.2",,github__zopefoundation__zope_component__bb12836f35b4,True
zope_interface__adapter_registry_core__001,hard50,Composite,registry_plugin_dispatch,false,False,hidden,hidden_only_behavior,failed,model_failed,0.0,0.596003,non_functional,0.953821,3638,8808103,178815,55720,104,True,131872,122880,8992,True,False,False,dependency lock is empty,,github__zopefoundation__zope_interface__2bd6aec44be6,True
aiohttp__url_params_core__hard3_001,python150,Adapted,validate_normalize_construct,false,False,hidden,hidden_only_behavior,failed,model_failed,0.0,3.971429,non_functional,0.0,278,6422920,52886,77682,93,True,125419,122880,2539,True,False,False,dependency lock is empty,,github__aio_libs__aiohttp__f9b96545c5f4,True
alembic__revision_map_core__hard3_001,python150,Adapted,algorithm_data_structure,false,False,public,public_behavior,failed,model_failed,0.0,7.447005,non_functional,0.772896,1616,9001373,140732,99169,117,True,130943,122880,8063,True,False,False,dependency lock is empty,,github__sqlalchemy__alembic__56669fdd1c0f,True
apscheduler__cron_trigger_core__hard3_001,python150,Adapted,protocol_state_transition,false,True,pass,pass,failed,model_failed,1.0,9.322034,copy_heavy_pass,0.672727,550,4818009,108435,109894,63,True,131204,122880,8324,True,False,False,dependency lock is empty,,github__agronholm__apscheduler__8b02f96b57dc,True
arrow__parse_format_core__001,python150,Adapted,parse_tokenize_decode,false,True,pass,pass,failed,agent_step_limited,1.0,0.704684,copy_heavy_pass,0.912813,2076,11536103,166920,75743,127,True,135459,122880,12579,True,False,False,,,github__arrow_py__arrow__c130ffb9980a,True
astroid__nodes_core__001,python150,Adapted,parse_tokenize_decode,false,True,pass,pass,failed,agent_step_limited,1.0,0.904536,copy_heavy_pass,0.953558,15094,9542862,185759,69167,106,True,138623,122880,15743,True,False,False,,,github__pycqa__astroid__d140cd4da9d6,True
attrs__validators_core__001,python150,Direct,validate_normalize_construct,false,True,pass,pass,failed,model_failed,1.0,1.049042,copy_heavy_pass,0.995861,4107,2597203,47165,32278,50,False,78493,122880,-44387,True,False,False,dependency lock is empty,,github__python_attrs__attrs__48bfb491ee6a,True
babel__plural_core__001,python150,Adapted,cache_retry_policy,false,True,pass,pass,failed,model_failed,1.0,0.681706,copy_heavy_pass,0.918404,1103,3381155,63081,46650,55,False,106812,122880,-16068,True,False,False,dependency lock is empty,,github__python_babel__babel__daa7160174ce,True
bidict__bidirectional_map_core__001,python150,Direct,algorithm_data_structure,false,True,pass,pass,passed,passed,1.0,0.993359,copy_heavy_pass,0.985673,1047,1386613,46865,23908,30,False,70978,122880,-51902,True,False,False,dependency lock is empty,,github__jab__bidict__dbbb0ca3e3ea,True
bleach__sanitize_core__001,python150,Adapted,validate_normalize_construct,false,True,pass,pass,failed,agent_step_limited,1.0,0.428124,compact_pass,0.316201,5876,11718807,276344,116767,134,True,132381,122880,9501,True,False,False,dependency lock is empty,,github__mozilla__bleach__985ad60b8e4f,True
blinker__signal_registry_core__001,python150,Direct,registry_plugin_dispatch,false,True,pass,pass,failed,model_failed,1.0,12.441176,copy_heavy_pass,0.725768,423,2376536,37964,47756,42,False,85654,122880,-37226,True,False,False,dependency lock is empty,,github__pallets_eco__blinker__845796dd4cca,True
boltons__iterutils_core__001,python150,Adapted,algorithm_data_structure,false,True,pass,pass,passed,passed,1.0,0.507258,copy_heavy_pass,0.91256,629,2708511,62383,47216,40,False,109454,122880,-13426,True,False,False,dependency lock is empty,,github__mahmoud__boltons__a4adb0d5e558,True
build__pyproject_backend_core__hard3_001,python150,Adapted,validate_normalize_construct,false,False,public,public_behavior,failed,model_failed,0.0,2.265306,non_functional,0.54955,111,967694,34454,13944,30,False,48815,122880,-74065,True,False,False,dependency lock is empty,,github__pypa__build__0dd08861015a,True
cachetools__cache_eviction_core__001,python150,Direct,cache_retry_policy,false,True,pass,pass,passed,passed,1.0,0.765589,copy_heavy_pass,0.971342,663,1999364,53474,26658,39,False,78748,122880,-44132,True,False,False,dependency lock is empty,,github__tkem__cachetools__b6ff34e99c6f,True
cattrs__structure_core__001,python150,Direct,serialize_format_render,false,True,pass,pass,failed,model_failed,1.0,1.004365,copy_heavy_pass,0.995988,2991,6064253,76661,37000,80,False,111177,122880,-11703,True,False,False,,,github__python_attrs__cattrs__5f60dbb75a07,True
celery__signal_dispatch_core__hard3_001,python150,Adapted,registry_plugin_dispatch,false,False,public,public_behavior,failed,model_failed,0.0,2.835821,non_functional,0.7,190,574853,17003,21146,22,False,39282,122880,-83598,True,False,False,dependency lock is empty,,github__celery__celery__ca877f3bafb2,True
cerberus__schema_validate_core__001,python150,Direct,validate_normalize_construct,false,True,pass,pass,failed,model_failed,1.0,0.92549,copy_heavy_pass,0.983051,2360,6776210,81138,44704,84,True,123086,122880,206,True,False,False,dependency lock is empty,,github__pyeve__cerberus__f94b31d35afd,True
chameleon__template_compile_core__001,python150,Adapted,serialize_format_render,false,True,pass,pass,failed,model_failed,1.0,0.946282,copy_heavy_pass,0.965824,5179,10291463,185161,55230,122,True,139236,122880,16356,True,False,False,dependency lock is empty,,github__malthe__chameleon__4718452f9233,True
click__lazy_command_core__hard3_001,python150,Adapted,registry_plugin_dispatch,false,False,public,public_behavior,failed,model_failed,0.0,3.607143,non_functional,0.227723,303,2621142,40502,59552,48,False,94789,122880,-28091,True,False,False,dependency lock is empty,,github__pallets__click__eadb3ec6941c,True
click__option_parser__001,python150,Adapted,parse_tokenize_decode,false,True,pass,pass,failed,model_failed,1.0,0.99987,copy_heavy_pass,0.998568,7682,2798395,47736,43971,54,False,90443,122880,-32437,True,False,False,dependency lock is empty,,github__pallets__click__a7cce6785c62,True
configobj__roundtrip_config_core__001,python150,Direct,config_resolve_discover,false,True,pass,pass,failed,model_failed,1.0,0.990079,copy_heavy_pass,0.999332,2994,1626910,30141,17761,52,False,46924,122880,-75956,True,False,False,dependency lock is empty,,github__diffsk__configobj__38e58dce2418,True
cookiecutter__repo_finder_core__hard3_001,python150,Composite,config_resolve_discover,false,False,public,public_behavior,failed,model_failed,0.0,1.404494,non_functional,0.0,125,1686609,39402,52455,35,False,82976,122880,-39904,True,False,False,dependency lock is empty,,github__cookiecutter__cookiecutter__4a97d92d7fa3,True
coverage__config_merge_core__001,python150,Adapted,config_resolve_discover,false,True,pass,pass,passed,passed,1.0,0.757658,copy_heavy_pass,0.887039,841,2309618,50957,36069,45,False,86187,122880,-36693,True,False,False,dependency lock is empty,,github__coveragepy__coveragepy__e426d54694bd,True
coverage__glob_matcher_core__001,python150,Direct,config_resolve_discover,false,True,pass,pass,passed,passed,1.0,0.244041,compact_pass,0.772093,215,1345785,36092,19197,39,False,55331,122880,-67549,True,False,False,dependency lock is empty,,github__coveragepy__coveragepy__e426d54694bd,True
coverage__path_remap_core__001,python150,Adapted,config_resolve_discover,false,True,pass,pass,failed,model_failed,1.0,0.401816,copy_heavy_pass,0.90678,354,1209608,32417,21735,35,False,54671,122880,-68209,True,False,False,dependency lock is empty,,github__coveragepy__coveragepy__e426d54694bd,True
coverage__report_core__001,python150,Adapted,serialize_format_render,false,True,pass,pass,failed,model_failed,1.0,0.464871,copy_heavy_pass,0.836272,1191,4308728,62191,45193,72,False,105455,122880,-17425,True,False,False,dependency lock is empty,,github__coveragepy__coveragepy__e426d54694bd,True
coverage__source_selection_core__001,python150,Adapted,config_resolve_discover,false,True,pass,pass,failed,model_failed,1.0,0.292755,compact_pass,0.782828,594,6117970,56011,74759,94,True,126891,122880,4011,True,False,False,dependency lock is empty,,github__coveragepy__coveragepy__e426d54694bd,True
croniter__cron_parse_core__001,python150,Direct,protocol_state_transition,false,True,pass,pass,passed,passed,1.0,0.85098,copy_heavy_pass,0.93702,651,3068019,40552,48779,55,False,88171,122880,-34709,True,False,False,,,github__pallets_eco__croniter__c013dd29183a,True
dataclasses_json__serde_core__001,python150,Direct,serialize_format_render,false,True,pass,pass,failed,model_failed,1.0,0.872781,copy_heavy_pass,0.934463,885,4900932,68692,39408,80,False,104688,122880,-18192,True,False,False,,,github__lidatong__dataclasses_json__3c5b2884e083,True
dateutil__zone_resolver_core__hard3_001,python150,Composite,resource_metadata_loading,false,False,hidden,hidden_only_behavior,failed,model_failed,0.0,4.208955,non_functional,0.06383,282,2913838,40717,51745,54,False,91756,122880,-31124,True,False,False,dependency lock is empty,,github__dateutil__dateutil__908960127252,True
decorator__signature_preserving_core__001,python150,Direct,workflow_session_orchestration,false,False,public,public_behavior,failed,model_failed,0.0,5.117647,non_functional,0.62069,87,1451293,44965,29432,34,False,74496,122880,-48384,True,False,False,dependency lock is empty,,github__micheles__decorator__09e3124ed957,True
deepdiff__deep_compare_core__001,python150,Direct,algorithm_data_structure,false,True,pass,pass,failed,model_failed,1.0,0.889593,copy_heavy_pass,0.963115,6317,8952538,170787,60471,103,True,138522,122880,15642,True,False,False,dependency lock is empty,,github__qlustered__deepdiff__94c962c3cc12,True
diskcache__eviction_policy_core__hard3_001,python150,Composite,cache_retry_policy,false,True,pass,pass,failed,model_failed,1.0,1.275,copy_heavy_pass,0.0,102,945594,22912,24506,30,False,48236,122880,-74644,True,False,False,dependency lock is empty,,github__grantjenks__python_diskcache__0ac33411f2a9,True
distlib__wheel_metadata_core__hard3_001,python150,Adapted,resource_metadata_loading,false,False,missing_submission,freeze_preflight_blocked,failed,missing_submission,0.0,,,,,,,,,,,,,False,True,False,,ValueError: distlib__wheel_metadata_core__hard3_001: active benchmark freeze spec hash mismatch,,
dynaconf__settings_merge_core__001,python150,Adapted,config_resolve_discover,false,False,missing_submission,agent_no_submission,missing_submission,missing_submission,0.0,,,,,737886,56862,3904,21,False,62384,122880,-60496,True,False,False,,agent did not create any files under workspace/submission,github__dynaconf__dynaconf__038e0439fdf2,True
email_validator__validate_core__001,python150,Direct,parse_tokenize_decode,false,True,pass,pass,passed,passed,1.0,0.964809,copy_heavy_pass,0.987842,658,2508443,67836,22815,45,False,89351,122880,-33529,True,False,False,,,github__joshdata__python_email_validator__e49b867521a5,True
environs__typed_env_core__001,python150,Direct,config_resolve_discover,false,True,pass,pass,failed,model_failed,1.0,0.988432,copy_heavy_pass,0.968791,769,2450576,49688,34552,46,False,83470,122880,-39410,True,False,False,,,github__sloria__environs__562bcbac41b7,True
faker__provider_core__001,python150,Direct,resource_metadata_loading,false,True,pass,pass,passed,passed,1.0,0.421739,compact_pass,0.750833,6305,5990949,82944,48805,73,True,129600,122880,6720,True,False,False,dependency lock is empty,,github__joke2k__faker__2d3753ae9184,True
filelock__reentrant_lock_core__001,python150,Adapted,workflow_session_orchestration,false,True,pass,pass,passed,passed,1.0,6.967742,copy_heavy_pass,0.328704,216,3915196,43927,65061,56,False,108302,122880,-14578,True,False,False,dependency lock is empty,,github__tox_dev__filelock__206f5893cac6,True
flake8__plugin_options_core__hard3_001,python150,Composite,registry_plugin_dispatch,false,False,public,public_behavior,failed,model_failed,0.0,3.723684,non_functional,0.067138,283,3148387,45007,57876,56,False,101466,122880,-21414,True,False,False,dependency lock is empty,,github__pycqa__flake8__4f658626a87a,True
flask__route_dispatch_core__001,python150,Adapted,registry_plugin_dispatch,false,False,public,public_behavior,failed,model_failed,0.0,17.833333,non_functional,0.093458,856,5456730,110665,96785,74,True,132048,122880,9168,True,False,False,dependency lock is empty,,github__pallets__flask__9cb579f98b54,True
