task_id,suite_split,lift_type,feature_family,functional_pass,audit_failure_class,max_allowed_prompt_tokens,max_prompt_tokens_per_call,context_overage_tokens,overage_band,total_tokens,effective_uncached_prompt_tokens
faker__provider_core__001,python150,Direct,resource_metadata_loading,True,pass,122880,129600,6720,4–8k,5990949,82944
pygments__formatter_core__001,python150,Direct,serialize_format_render,True,pass,122880,128010,5130,4–8k,6196125,90784
python_multipart__form_parse_core__001,python150,Direct,parse_tokenize_decode,True,pass,122880,127980,5100,4–8k,4079139,92450
zope_component__site_lookup_core__001,hard50,Composite,registry_plugin_dispatch,False,dependency_install_infrastructure,122880,127876,4996,4–8k,7136890,64669
webob__request_response_core__001,hard50,Direct,protocol_state_transition,True,pass,122880,127748,4868,4–8k,11122182,146184
coverage__source_selection_core__001,python150,Adapted,config_resolve_discover,True,pass,122880,126891,4011,1–4k,6117970,56011
aiohttp__url_params_core__hard3_001,python150,Adapted,validate_normalize_construct,False,hidden_only_behavior,122880,125419,2539,1–4k,6422920,52886
python_box__config_box_core__001,python150,Direct,config_resolve_discover,True,pass,122880,124711,1831,1–4k,6154547,65703
polyfactory__model_factory_core__001,hard50,Adapted,validate_normalize_construct,True,pass,122880,123760,880,≤1k,6143303,74950
cerberus__schema_validate_core__001,python150,Direct,validate_normalize_construct,True,pass,122880,123086,206,≤1k,6776210,81138
