model,task_id,suite_split,construction_split,hard3,lift_type,feature_family,entanglement_primary,entanglement_level,has_run_json,has_result_json,submission_file_count,usable_submission,functional_pass,first_failure_stage,run_status,freeze_id,agent_docker_image,eval_docker_image,build_pass,public_pass,hidden_pass,isolation_pass,rres,extraction_ratio,copied_fraction,copied_loc,submitted_loc,reference_loc,compactness_class,artifact_fail,process_tve,process_invalid_encrypted,process_timeout,process_promoted_process,process_context_violation,process_usage_unverified,process_usage_source,process_api_calls,process_assistant_steps,process_prompt_tokens,process_completion_tokens,process_total_tokens,process_effective_uncached_prompt_tokens,process_incremental_tokens,process_prompt_cache_accounting,process_duration_seconds,process_detail,process_flags
deepseek-v4-pro,boltons__iterutils_core__001,python150,core100,False,Adapted,algorithm_data_structure,data_model_coupling,high,True,True,2,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.370968,0.370968,0.586957,270,460,1240,compact_pass,False,False,False,False,False,False,False,usage.json,29,28,1316758,30823,1347581,43926,74749,True,394.944474,passed,[]
deepseek-v4-pro,build__pyproject_backend_core__hard3_001,python150,hard50,True,Adapted,validate_normalize_construct,data_model_coupling,high,True,True,3,True,False,public_failure,failed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,False,True,True,1.734694,1.734694,0.6,51,85,49,non_functional,True,True,False,False,False,False,False,usage.json,22,20,691258,14371,705629,32186,46557,True,194.749003,"Error validating tool 'file_editor': Failed to provide security_risk field in tool 'file_editor'. Parameters provided: ['command', 'path']","[""tool_validation_error"", ""tve""]"
deepseek-v4-pro,cachetools__cache_eviction_core__001,python150,core100,False,Direct,cache_retry_policy,data_model_coupling,high,True,True,3,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.759815,0.759815,0.978723,644,658,866,copy_heavy_pass,False,False,False,False,False,False,False,usage.json,20,21,716086,16902,732988,35638,52540,True,200.45225,passed,[]
deepseek-v4-pro,cattrs__structure_core__001,python150,core100,False,Direct,serialize_format_render,data_model_coupling,high,True,True,14,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,1.004701,1.004701,0.996992,2983,2992,2978,copy_heavy_pass,False,False,False,False,False,False,False,usage.json,37,36,2492496,26834,2519330,77904,104738,True,388.095908,passed,[]
deepseek-v4-pro,celery__signal_dispatch_core__hard3_001,python150,hard50,True,Adapted,registry_plugin_dispatch,framework_coupling,high,True,True,2,True,False,public_failure,failed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,False,False,True,3.19403,3.19403,0.719626,154,214,67,non_functional,True,True,False,False,False,False,False,usage.json,30,32,916872,22994,939866,29448,52442,True,315.47565,"Error validating tool 'file_editor': Failed to provide security_risk field in tool 'file_editor'. Parameters provided: ['command', 'path']","[""tool_validation_error"", ""tve""]"
deepseek-v4-pro,cerberus__schema_validate_core__001,python150,core100,False,Direct,validate_normalize_construct,data_model_coupling,high,True,True,6,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.90549,0.90549,0.98874,2283,2309,2550,copy_heavy_pass,False,False,False,False,False,False,False,usage.json,62,61,4696186,37764,4733950,85242,123006,True,530.706571,passed,[]
deepseek-v4-pro,chameleon__template_compile_core__001,python150,core100,False,Adapted,serialize_format_render,parser_state_coupling,high,True,True,22,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.949022,0.949022,0.967655,5026,5194,5473,copy_heavy_pass,False,False,False,False,False,True,False,usage.json,80,78,7147912,38766,7186678,181512,220278,True,597.298424,passed,[]
deepseek-v4-pro,click__lazy_command_core__hard3_001,python150,hard50,True,Adapted,registry_plugin_dispatch,framework_coupling,high,True,True,2,True,False,public_failure,failed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,False,False,True,1.904762,1.904762,0.06875,11,160,84,non_functional,True,True,False,False,False,True,False,usage.json,82,79,5449128,74818,5523946,153000,227818,True,1128.491696,"Error validating tool 'file_editor': Failed to provide security_risk field in tool 'file_editor'. Parameters provided: ['command', 'path', 'old_str', 'new_str']","[""tool_validation_error"", ""tve""]"
deepseek-v4-pro,click__option_parser__001,python150,core100,False,Adapted,parse_tokenize_decode,framework_coupling,high,True,True,16,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.96694,0.96694,0.998923,7421,7429,7683,copy_heavy_pass,False,False,False,False,False,False,False,usage.json,59,58,2532231,25193,2557424,47111,72304,True,397.066031,passed,[]
deepseek-v4-pro,configobj__roundtrip_config_core__001,python150,core100,False,Direct,config_resolve_discover,config_environment_coupling,high,True,True,2,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.99041,0.99041,0.999332,2993,2995,3024,copy_heavy_pass,False,False,False,False,False,False,False,usage.json,44,43,2058253,13235,2071488,59533,72768,True,221.895338,passed,[]
deepseek-v4-pro,cookiecutter__repo_finder_core__hard3_001,python150,hard50,True,Composite,config_resolve_discover,resource_coupling,high,True,True,1,True,False,public_failure,failed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,False,False,True,1.134831,1.134831,0.0,0,101,89,non_functional,True,False,False,False,False,True,False,usage.json,59,58,4049790,51972,4101762,74110,126082,True,735.387578,passed,[]
deepseek-v4-pro,coverage__config_merge_core__001,python150,core100,False,Adapted,config_resolve_discover,config_environment_coupling,high,True,True,6,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.70991,0.70991,0.927665,731,788,1110,copy_heavy_pass,False,False,False,False,False,False,False,usage.json,41,40,2924079,40173,2964252,81711,121884,True,527.68059,passed,[]
deepseek-v4-pro,coverage__glob_matcher_core__001,python150,core100,False,Direct,config_resolve_discover,resource_coupling,high,True,True,3,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.179342,0.179342,0.829114,131,158,881,copy_heavy_pass,False,True,False,False,False,False,False,usage.json,30,31,932987,16900,949887,36731,53631,True,227.481633,"Error validating tool 'file_editor': Failed to provide security_risk field in tool 'file_editor'. Parameters provided: ['command', 'path', 'old_str', 'new_str']","[""tool_validation_error"", ""tve""]"
deepseek-v4-pro,coverage__path_remap_core__001,python150,core100,False,Adapted,config_resolve_discover,resource_coupling,high,True,True,3,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.328036,0.328036,0.944637,273,289,881,copy_heavy_pass,False,False,False,False,False,False,False,usage.json,30,29,924844,19367,944211,33708,53075,True,243.796018,passed,[]
deepseek-v4-pro,coverage__report_core__001,python150,core100,False,Adapted,serialize_format_render,config_environment_coupling,high,True,True,11,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.271663,0.271663,0.755747,526,696,2562,compact_pass,False,True,False,False,False,False,False,usage.json,61,58,4173353,51342,4224695,71465,122807,True,676.27299,"Error validating tool 'file_editor': Failed to provide security_risk field in tool 'file_editor'. Parameters provided: ['command', 'path', 'old_str', 'new_str']","[""tool_validation_error"", ""tve""]"
deepseek-v4-pro,coverage__source_selection_core__001,python150,core100,False,Adapted,config_resolve_discover,config_environment_coupling,high,True,True,7,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.250862,0.250862,0.801572,408,509,2029,copy_heavy_pass,False,True,False,False,False,True,False,usage.json,62,59,4360919,58808,4419727,71127,129935,True,731.381798,"Error validating tool 'file_editor': Failed to provide security_risk field in tool 'file_editor'. Parameters provided: ['command', 'path']","[""tool_validation_error"", ""tve""]"
deepseek-v4-pro,croniter__cron_parse_core__001,python150,core100,False,Direct,protocol_state_transition,parser_state_coupling,high,True,True,2,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.877124,0.877124,0.940387,631,671,765,copy_heavy_pass,False,False,False,False,False,False,False,usage.json,44,44,2570296,38660,2608956,58680,97340,True,531.068847,passed,[]
deepseek-v4-pro,dataclasses_json__serde_core__001,python150,core100,False,Direct,serialize_format_render,data_model_coupling,high,True,True,7,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.868836,0.868836,0.945516,833,881,1014,copy_heavy_pass,False,False,False,False,False,False,False,usage.json,41,40,2893805,47760,2941565,63213,110973,True,556.806362,passed,[]
deepseek-v4-pro,dateutil__zone_resolver_core__hard3_001,python150,hard50,True,Composite,resource_metadata_loading,resource_coupling,high,True,True,1,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,1.776119,1.776119,0.058824,7,119,67,copy_heavy_pass,False,True,False,False,False,True,False,usage.json,85,82,6279183,61284,6340467,170767,232051,True,883.550941,"Error validating tool 'file_editor': Failed to provide security_risk field in tool 'file_editor'. Parameters provided: ['command', 'path']","[""tool_validation_error"", ""tve""]"
deepseek-v4-pro,decorator__signature_preserving_core__001,python150,core100,False,Direct,workflow_session_orchestration,data_model_coupling,high,True,True,1,True,False,public_failure,failed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,False,True,True,5.352941,5.352941,0.549451,50,91,17,non_functional,True,True,False,False,False,False,False,usage.json,22,20,851232,25210,876442,38688,63898,True,301.83161,"Error validating tool 'file_editor': Failed to provide security_risk field in tool 'file_editor'. Parameters provided: ['command', 'path']","[""tool_validation_error"", ""tve""]"
deepseek-v4-pro,deepdiff__deep_compare_core__001,python150,core100,False,Direct,algorithm_data_structure,data_model_coupling,high,True,True,15,True,True,functional_pass,failed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.880439,0.880439,0.976488,6105,6252,7101,copy_heavy_pass,False,False,False,False,False,True,False,usage.json,135,133,11501510,75075,11576585,178118,253193,True,1100.651785,step_limit_exceeded,[]
deepseek-v4-pro,diskcache__eviction_policy_core__hard3_001,python150,hard50,True,Composite,cache_retry_policy,resource_coupling,high,True,True,2,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,1.125,1.125,0.0,0,90,80,copy_heavy_pass,False,True,False,False,False,False,False,usage.json,28,28,959281,32413,991694,26417,58830,True,400.314441,"Error validating tool 'file_editor': Failed to provide security_risk field in tool 'file_editor'. Parameters provided: ['command', 'path']","[""tool_validation_error"", ""tve""]"
deepseek-v4-pro,distlib__wheel_metadata_core__hard3_001,python150,hard50,True,Adapted,resource_metadata_loading,resource_coupling,high,True,True,1,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,3.133333,3.133333,0.042553,4,94,30,copy_heavy_pass,False,False,False,False,False,False,False,usage.json,52,51,2489304,59970,2549274,58200,118170,True,804.779581,passed,[]
deepseek-v4-pro,dynaconf__settings_merge_core__001,python150,core100,False,Adapted,config_resolve_discover,config_environment_coupling,high,True,True,17,True,True,functional_pass,failed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.301403,0.301403,0.920936,3541,3845,12757,copy_heavy_pass,False,False,False,False,False,True,False,usage.json,133,131,12262857,68244,12331101,232265,300509,True,965.042445,step_limit_exceeded,[]
deepseek-v4-pro,email_validator__validate_core__001,python150,core100,False,Direct,parse_tokenize_decode,parser_state_coupling,high,True,True,7,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.972141,0.972141,0.99095,657,663,682,copy_heavy_pass,False,False,False,False,False,False,False,usage.json,37,36,1777338,13932,1791270,62650,76582,True,207.486697,passed,[]
deepseek-v4-pro,environs__typed_env_core__001,python150,core100,False,Direct,config_resolve_discover,config_environment_coupling,high,True,True,3,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.694087,0.694087,0.909259,491,540,778,copy_heavy_pass,False,True,False,False,False,False,False,usage.json,36,34,1725793,25924,1751717,56289,82213,True,310.234883,"Error validating tool 'file_editor': Failed to provide security_risk field in tool 'file_editor'. Parameters provided: ['command', 'path', 'old_str', 'new_str']","[""tool_validation_error"", ""tve""]"
deepseek-v4-pro,faker__provider_core__001,python150,core100,False,Direct,resource_metadata_loading,resource_coupling,high,True,True,19,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.313846,0.313846,0.993606,4662,4692,14950,copy_heavy_pass,False,False,False,False,False,False,False,usage.json,58,57,4085215,41409,4126624,70751,112160,True,547.655794,passed,[]
deepseek-v4-pro,filelock__reentrant_lock_core__001,python150,core100,False,Adapted,workflow_session_orchestration,resource_coupling,high,True,True,10,True,False,public_failure,failed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,False,True,True,6.548387,6.548387,0.527094,107,203,31,non_functional,True,True,False,False,False,False,False,usage.json,19,19,674639,27966,702605,31695,59661,True,330.756994,"Error validating tool 'file_editor': Failed to provide security_risk field in tool 'file_editor'. Parameters provided: ['command', 'path', 'old_str', 'new_str']","[""tool_validation_error"", ""tve""]"
deepseek-v4-pro,flake8__plugin_options_core__hard3_001,python150,hard50,True,Composite,registry_plugin_dispatch,framework_coupling,high,True,True,4,True,False,public_failure,failed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,False,False,True,2.605263,2.605263,0.055556,11,198,76,non_functional,True,True,False,False,False,False,False,usage.json,55,60,3597235,68060,3665295,51123,119183,True,879.768722,"Error validating tool 'file_editor': Failed to provide security_risk field in tool 'file_editor'. Parameters provided: ['command', 'path']","[""tool_validation_error"", ""tve""]"
deepseek-v4-pro,flask__route_dispatch_core__001,python150,core100,False,Adapted,registry_plugin_dispatch,framework_coupling,high,True,True,4,True,False,public_failure,failed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,False,False,True,6.229167,6.229167,0.020067,6,299,48,non_functional,True,False,False,False,False,False,False,usage.json,36,35,1344814,42136,1386950,33966,76102,True,537.573915,passed,[]
deepseek-v4-pro,fs__url_opener_core__hard3_001,python150,hard50,True,Adapted,registry_plugin_dispatch,resource_coupling,high,True,True,2,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,1.717647,1.717647,0.178082,26,146,85,copy_heavy_pass,False,True,False,False,False,False,False,usage.json,42,39,2194468,49033,2243501,51108,100141,True,638.507597,"Error validating tool 'file_editor': Failed to provide security_risk field in tool 'file_editor'. Parameters provided: ['command', 'path', 'old_str', 'new_str']","[""tool_validation_error"", ""tve""]"
deepseek-v4-pro,fsspec__url_chain_core__hard3_001,python150,hard50,True,Adapted,config_resolve_discover,resource_coupling,high,True,True,3,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,4.314607,4.314607,0.085938,33,384,89,copy_heavy_pass,False,True,False,False,False,True,False,usage.json,75,71,5286122,71601,5357723,66538,138139,True,933.382738,"Error validating tool 'file_editor': Failed to provide security_risk field in tool 'file_editor'. Parameters provided: ['command', 'path']","[""tool_validation_error"", ""tve""]"
deepseek-v4-pro,glom__spec_eval_core__hard3_001,python150,hard50,True,Adapted,algorithm_data_structure,parser_state_coupling,high,True,True,2,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,41.588235,41.588235,0.95521,2026,2121,51,copy_heavy_pass,False,True,False,False,False,False,False,usage.json,58,56,3956794,47233,4004027,65082,112315,True,647.744351,"Error validating tool 'file_editor': Failed to provide security_risk field in tool 'file_editor'. Parameters provided: ['command', 'path', 'old_str', 'new_str']","[""tool_validation_error"", ""tve""]"
deepseek-v4-pro,h11__message_parse_core__001,python150,core100,False,Direct,protocol_state_transition,parser_state_coupling,high,True,True,12,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,1.000681,1.000681,0.997279,1466,1470,1469,copy_heavy_pass,False,False,False,False,False,False,False,usage.json,21,21,515075,8351,523426,27267,35618,True,131.525084,passed,[]
deepseek-v4-pro,h2__frame_parse_core__001,python150,core100,False,Adapted,protocol_state_transition,parser_state_coupling,high,True,True,10,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.958534,0.958534,0.2666,265,994,1037,functional_mixed_footprint,False,True,False,False,False,False,False,usage.json,40,41,1577000,20172,1597172,51240,71412,True,279.82052,"Error validating tool 'file_editor': Failed to provide security_risk field in tool 'file_editor'. Parameters provided: ['command', 'path', 'old_str', 'new_str']","[""tool_validation_error"", ""tve""]"
deepseek-v4-pro,hatch__project_metadata_core__hard3_001,python150,hard50,True,Adapted,resource_metadata_loading,data_model_coupling,high,True,True,2,True,False,public_failure,failed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,False,False,True,2.060241,2.060241,0.035088,6,171,83,non_functional,True,True,False,False,False,False,False,usage.json,63,60,4034479,56662,4091141,70575,127237,True,809.207435,"Error validating tool 'file_editor': Failed to provide security_risk field in tool 'file_editor'. Parameters provided: ['command', 'path']","[""tool_validation_error"", ""tve""]"
