task_id,release_group,lift_type,primary_coupling,test_count,assertion_count,strict_valid,strict_error_count,undeclared_api_count,mapping_issue_count,behavior_contract_issue_count
coverage__config_merge_core__001,frozen_python150,Adapted,,7,15,True,0,0,0,0
coverage__glob_matcher_core__001,frozen_python150,Direct,,8,18,True,0,0,0,0
coverage__path_remap_core__001,frozen_python150,Adapted,,7,12,True,0,0,0,0
coverage__report_core__001,frozen_python150,Adapted,,6,25,True,0,0,0,0
coverage__source_selection_core__001,frozen_python150,Adapted,,7,16,True,0,0,0,0
croniter__cron_parse_core__001,frozen_python150,Direct,,10,18,True,0,1,0,0
dataclasses_json__serde_core__001,frozen_python150,Direct,,13,31,False,5,3,0,0
dateparser__parse_settings_pipeline_core__001,external50,Composite,parser_state_coupling,9,16,True,0,1,0,2
dateutil__zone_resolver_core__hard3_001,frozen_python150,Composite,,5,13,True,0,0,0,0
decorator__signature_preserving_core__001,frozen_python150,Direct,,4,10,True,0,0,0,1
deepdiff__deep_compare_core__001,frozen_python150,Direct,,8,14,True,0,1,0,0
diskcache__eviction_policy_core__hard3_001,frozen_python150,Composite,,5,11,True,0,0,0,0
distlib__wheel_metadata_core__hard3_001,frozen_python150,Adapted,,6,10,True,0,0,0,0
dynaconf__settings_merge_core__001,frozen_python150,Adapted,,7,18,True,0,0,0,0
email_validator__validate_core__001,frozen_python150,Direct,,15,37,True,0,1,0,0
environs__typed_env_core__001,frozen_python150,Direct,,14,27,False,2,3,0,0
faker__provider_core__001,frozen_python150,Direct,,4,20,True,0,0,0,0
fasteners__process_lock_core__001,external50,Direct,resource_coupling,6,6,True,0,1,0,2
filelock__reentrant_lock_core__001,frozen_python150,Adapted,,5,11,True,0,0,0,1
flake8__plugin_options_core__hard3_001,frozen_python150,Composite,,4,10,True,0,0,0,0
flask__route_dispatch_core__001,frozen_python150,Adapted,,5,11,True,0,0,0,1
flask_cors__cors_options_core__001,external50,Adapted,framework_coupling,5,7,True,0,1,0,2
flask_login__session_guard_core__001,external50,Composite,framework_coupling,6,16,True,0,1,0,2
freezegun__freeze_time_core__001,external50,Adapted,config_environment_coupling,7,21,True,0,1,0,2
fs__url_opener_core__hard3_001,frozen_python150,Adapted,,5,14,True,0,0,0,0
fsspec__url_chain_core__hard3_001,frozen_python150,Adapted,,5,10,True,0,0,0,0
ftfy__fix_text_core__001,external50,Direct,parser_state_coupling,8,8,True,0,1,0,2
furl__url_mutate_core__001,external50,Adapted,data_model_coupling,7,10,True,0,1,0,2
glom__spec_eval_core__hard3_001,frozen_python150,Adapted,,4,9,True,0,0,0,0
h11__message_parse_core__001,frozen_python150,Direct,,5,20,True,0,0,0,0
h2__frame_parse_core__001,frozen_python150,Adapted,,7,32,True,0,2,0,0
hatch__project_metadata_core__hard3_001,frozen_python150,Adapted,,5,9,True,0,0,0,0
httpx__request_model_core__001,frozen_python150,Adapted,,14,54,False,1,2,0,0
huey__task_schedule_core__001,external50,Composite,framework_coupling,6,14,True,0,1,0,2
humanize__naturaltime_core__001,frozen_python150,Direct,,10,14,True,0,1,0,0
hyperlink__url_parse_core__001,external50,Adapted,data_model_coupling,7,12,True,0,1,0,2
icalendar__component_roundtrip_core__001,external50,Composite,parser_state_coupling,6,13,True,0,1,0,2
importlib_metadata__entry_points_core__001,frozen_python150,Direct,,4,19,False,1,1,0,0
importlib_resources__traversable_tree_core__hard3_001,frozen_python150,Composite,,8,24,True,0,0,0,0
installer__wheel_record_core__hard3_001,frozen_python150,Adapted,,5,8,True,0,0,0,0
intervaltree__interval_tree_core__001,frozen_python150,Direct,,12,30,True,0,1,0,0
invoke__collection_context_core__001,external50,Composite,framework_coupling,6,14,True,0,1,0,2
isodate__duration_parse_core__001,frozen_python150,Adapted,,10,24,True,0,1,0,0
isort__settings_resolver_core__hard3_001,frozen_python150,Adapted,,9,26,True,0,0,0,0
itsdangerous__timed_serializer_core__001,frozen_python150,Adapted,,5,12,True,0,0,0,1
jinja2__compile_render_core__001,frozen_python150,Adapted,,6,12,True,0,0,0,0
jinja2__extensions_core__001,frozen_python150,Adapted,,6,13,False,1,0,0,0
jinja2__filters_tests_core__001,frozen_python150,Adapted,,7,18,False,2,2,0,0
jinja2__lexer_parser_core__001,frozen_python150,Adapted,,6,19,False,6,5,0,0
jinja2__loader_inheritance_core__001,frozen_python150,Adapted,,5,11,True,0,0,0,0
joserfc__jwt_claims_core__001,external50,Composite,data_model_coupling,5,8,True,0,3,0,2
json5__parse_core__001,frozen_python150,Direct,,6,8,True,0,0,0,0
json_logic__evaluator_core__hard3_001,frozen_python150,Direct,,7,9,True,0,0,0,0
jsonpath_ng__expression_eval_core__001,frozen_python150,Direct,,11,16,True,0,1,0,0
jsonpickle__handler_roundtrip_core__001,external50,Adapted,data_model_coupling,5,7,True,0,2,0,2
jsonpointer__resolve_core__001,frozen_python150,Direct,,15,35,True,0,1,0,0
jsonschema__validator_core__001,frozen_python150,Direct,,6,27,True,0,0,0,0
jupyter_core__paths_resolver_core__hard3_001,frozen_python150,Adapted,,8,20,True,0,0,0,0
jupyter_server__extension_config_core__hard3_001,frozen_python150,Composite,,5,14,True,0,0,0,0
keyring__backend_select_core__hard3_001,frozen_python150,Composite,,9,25,True,0,0,0,0
langcodes__language_metadata_core__001,external50,Composite,third_party_dependency_coupling,7,11,True,0,1,0,2
lark__grammar_loader_core__001,frozen_python150,Direct,,4,13,True,0,1,0,0
lark__parse_tree_core__001,frozen_python150,Direct,,6,17,True,0,0,0,0
lark__visitor_transform_core__001,frozen_python150,Adapted,,6,14,True,0,0,0,0
license_expression__policy_core__hard3_001,frozen_python150,Direct,,10,25,True,0,0,0,0
mako__lexer_expression_core__001,frozen_python150,Direct,,12,40,False,8,6,0,0
markdown__extensions_core__001,frozen_python150,Adapted,,8,14,True,0,1,0,0
markdown_it__commonmark_render__001,frozen_python150,Direct,,6,20,False,4,3,0,0
marshmallow__schema_core__001,frozen_python150,Direct,,4,18,False,7,1,0,0
mkdocs__plugin_config_core__hard3_001,frozen_python150,Composite,,5,12,True,0,0,0,0
more_itertools__recipes_core__001,external50,Direct,data_model_coupling,9,11,True,0,1,0,2
msgpack__pack_unpack_core__001,frozen_python150,Adapted,,14,34,True,0,1,0,0
multidict__multidict_mutation_core__hard3_001,frozen_python150,Direct,,6,20,True,0,0,0,0
networkx__dag_topo_core__001,frozen_python150,Direct,,7,17,True,0,0,0,0
omegaconf__merge_interpolate_core__001,external50,Composite,config_environment_coupling,9,20,True,0,3,0,2
packageurl__purl_parse_core__001,external50,Adapted,data_model_coupling,7,14,True,0,1,0,2
packaging__requirement_marker_specifier__001,frozen_python150,Direct,,8,66,False,1,1,0,0
parse__format_parser_core__001,frozen_python150,Direct,,5,12,True,0,0,0,1
parsel__selector_namespace_core__hard3_001,frozen_python150,Adapted,,5,12,False,2,2,0,0
parso__python_parse_core__001,frozen_python150,Direct,,8,11,True,0,1,0,0
passlib__hash_context_core__001,frozen_python150,Direct,,4,11,True,0,0,0,0
pathvalidate__sanitize_core__001,frozen_python150,Direct,,10,31,True,0,1,0,0
pendulum__parse_format_core__001,frozen_python150,Adapted,,16,73,True,0,1,0,0
phonenumbers__parse_format_core__001,frozen_python150,Direct,,6,16,False,2,2,0,0
platformdirs__app_dirs_core__hard3_001,frozen_python150,Adapted,,9,25,True,0,0,0,0
pluggy__hook_call_order__001,frozen_python150,Direct,,5,22,True,0,0,0,0
pluggy__hook_specs_core__001,frozen_python150,Direct,,6,13,True,0,0,0,0
pluggy__hook_wrapper_core__hard3_001,frozen_python150,Adapted,,6,10,True,0,0,0,0
poetry_core__dependency_groups_core__hard3_001,frozen_python150,Composite,,4,9,True,0,0,0,0
portalocker__file_lock_core__001,external50,Direct,resource_coupling,7,8,True,0,1,0,2
publicsuffixlist__metadata_lookup_core__001,external50,Direct,resource_coupling,7,11,True,0,1,0,2
puremagic__signature_resource_core__001,external50,Direct,resource_coupling,6,9,True,0,1,0,2
pydantic__field_validator_core__hard3_001,frozen_python150,Adapted,,4,7,True,0,0,0,0
pydantic_settings__env_source_core__001,frozen_python150,Adapted,,6,10,True,0,0,0,0
pydantic_v1__validation_error_core__001,frozen_python150,Adapted,,11,28,False,1,1,0,0
pyee__event_workflow_core__001,external50,Composite,third_party_dependency_coupling,6,10,True,0,1,0,2
pygments__formatter_core__001,frozen_python150,Direct,,6,15,True,0,0,0,0
pygments__lexer_core__001,frozen_python150,Direct,,6,17,False,14,14,0,0
pyjwt__encode_decode_core__001,external50,Adapted,data_model_coupling,7,9,True,0,2,0,2
pyotp__totp_hotp_core__001,external50,Direct,data_model_coupling,8,12,True,0,1,0,2
pyparsing__grammar_compose_core__001,external50,Adapted,parser_state_coupling,9,31,True,0,1,0,2
pyramid__configurator_action_core__hard3_001,frozen_python150,Composite,,5,9,True,0,0,0,0
pyrsistent__pmap_pvector_core__001,external50,Direct,data_model_coupling,8,12,True,0,1,0,2
pytest__fixture_resolve_core__001,frozen_python150,Composite,,6,19,True,0,0,0,0
pytest__ini_markers_core__001,frozen_python150,Composite,,6,13,False,1,1,0,0
pytest__mark_expression_core__001,frozen_python150,Adapted,,5,12,False,2,1,0,0
pytest__marker_registry_core__hard3_001,frozen_python150,Composite,,5,12,True,0,0,0,0
pytest__skipif_eval_core__001,frozen_python150,Composite,,6,9,True,0,0,0,0
python_box__config_box_core__001,frozen_python150,Direct,,10,22,True,0,1,0,0
python_crontab__cron_item_core__001,external50,Adapted,parser_state_coupling,7,20,True,0,1,0,2
python_dateutil__relativedelta_core__001,frozen_python150,Direct,,14,29,False,1,2,0,0
python_dateutil__rrule_core__001,frozen_python150,Direct,,11,29,True,0,1,0,0
python_decouple__config_repository_core__001,frozen_python150,Adapted,,5,17,True,0,0,0,1
python_dotenv__env_parse_core__001,frozen_python150,Direct,,16,20,True,0,1,0,0
python_frontmatter__roundtrip_core__001,frozen_python150,Direct,,14,44,True,0,1,0,0
python_json_logger__json_formatter_core__001,external50,Adapted,config_environment_coupling,5,9,True,0,1,0,2
python_multipart__form_parse_core__001,frozen_python150,Direct,,14,47,True,0,1,0,0
python_statemachine__json_workflow_core__001,external50,Composite,config_environment_coupling,6,10,True,0,1,0,2
pyyaml__safe_load_dump__001,frozen_python150,Adapted,,7,18,True,0,0,0,0
readme_renderer__content_type_core__hard3_001,frozen_python150,Adapted,,5,7,True,0,0,0,0
redis__resp_parser_core__001,frozen_python150,Adapted,,6,15,True,0,0,0,0
referencing__json_schema_refs_core__001,frozen_python150,Adapted,,6,16,False,2,2,0,0
requests_cache__cache_key_core__hard3_001,frozen_python150,Composite,,9,26,False,2,1,0,0
responses__request_matcher_core__hard3_001,frozen_python150,Composite,,4,16,True,0,0,0,0
returns__result_pipeline_core__hard3_001,frozen_python150,Adapted,,4,15,False,3,3,0,0
rfc3986__uri_parse_core__001,frozen_python150,Adapted,,10,29,False,5,5,0,0
rich__markup_parse_core__001,frozen_python150,Adapted,,5,24,True,0,0,0,0
ruamel_yaml__roundtrip_core__001,frozen_python150,Adapted,,8,16,True,0,1,0,0
schema__nested_validate_core__hard3_001,frozen_python150,Adapted,,5,12,False,1,1,0,0
scrapy__item_loader_core__hard3_001,frozen_python150,Adapted,,4,14,True,0,0,0,0
semver__version_core__001,external50,Direct,data_model_coupling,9,24,True,0,1,0,2
setuptools_scm__version_normalize_core__hard3_001,frozen_python150,Adapted,,5,5,True,0,0,0,0
sortedcontainers__sorted_list_core__001,frozen_python150,Direct,,11,31,True,0,1,0,0
sphinx__extension_registry_core__hard3_001,frozen_python150,Composite,,4,11,True,0,0,0,0
sqlalchemy__event_dispatch_core__hard3_001,frozen_python150,Adapted,,4,8,True,0,0,0,0
sqlglot__parse_transpile_core__001,external50,Composite,parser_state_coupling,9,14,True,0,3,0,2
sqlparse__format_filters_core__001,frozen_python150,Direct,,4,7,True,0,0,0,0
sqlparse__parse_format_core__001,frozen_python150,Adapted,,9,28,False,6,6,0,0
sqlparse__parse_split_core__001,frozen_python150,Adapted,,5,15,False,3,3,0,0
sqlparse__token_tree_core__001,frozen_python150,Adapted,,5,20,False,6,6,0,0
stamina__retry_context_core__001,external50,Direct,third_party_dependency_coupling,7,10,True,0,1,0,2
starlette__route_matching_core__hard3_001,frozen_python150,Adapted,,4,16,True,0,0,0,0
stevedore__extension_manager_core__hard3_001,frozen_python150,Composite,,9,29,True,0,0,0,0
strictyaml__schema_load_core__001,external50,Composite,data_model_coupling,8,10,True,0,1,0,2
structlog__processor_chain_core__001,external50,Composite,data_model_coupling,7,14,True,0,1,0,2
tabulate__table_format_core__001,frozen_python150,Direct,,14,28,True,0,1,0,0
tenacity__retry_state_core__hard3_001,frozen_python150,Adapted,,9,29,True,0,0,0,0
tinycss2__stylesheet_roundtrip_core__001,external50,Adapted,parser_state_coupling,9,12,True,0,2,0,2
tinydb__query_storage_core__001,external50,Composite,data_model_coupling,8,31,True,0,1,0,2
tldextract__suffix_resolve_core__001,external50,Composite,resource_coupling,6,14,True,0,1,0,2
tomlkit__roundtrip_document__001,frozen_python150,Direct,,9,51,True,0,0,0,0
toolz__compose_pipe_core__001,external50,Direct,data_model_coupling,8,15,True,0,1,0,2
tox__factor_expression_core__hard3_001,frozen_python150,Adapted,,3,8,True,0,0,0,0
trafaret__validation_rules_core__hard3_001,frozen_python150,Adapted,,5,19,False,1,1,0,0
transitions__state_machine_core__hard3_001,frozen_python150,Adapted,,5,8,True,0,0,0,0
typeguard__check_type_pipeline_core__001,external50,Composite,data_model_coupling,9,13,True,0,1,0,2
typer__command_parser_core__001,frozen_python150,Direct,,4,9,True,0,0,0,0
unidiff__patch_hunk_core__001,external50,Composite,parser_state_coupling,8,14,True,0,1,0,2
uritools__uri_join_normalize_core__001,external50,Adapted,parser_state_coupling,9,23,True,0,1,0,2
urllib3__retry_backoff_core__001,frozen_python150,Direct,,14,37,False,3,4,0,0
vcrpy__cassette_match_core__001,external50,Composite,framework_coupling,6,10,True,0,1,0,2
venusian__scan_dispatch_core__001,external50,Composite,framework_coupling,6,9,True,0,1,0,2
virtualenv__interpreter_spec_core__hard3_001,frozen_python150,Adapted,,5,11,True,0,0,0,0
voluptuous__schema_validate_core__001,frozen_python150,Direct,,8,23,True,0,1,0,0
watchdog__observer_dispatch_core__001,external50,Composite,resource_coupling,5,15,True,0,1,0,2
websockets__handshake_parse_core__001,frozen_python150,Adapted,,23,59,False,2,1,0,0
werkzeug__routing_core__001,frozen_python150,Adapted,,4,16,True,0,0,0,0
wheel__metadata_normalize_core__hard3_001,frozen_python150,Adapted,,4,15,True,0,0,0,0
wsproto__frame_parse_core__001,frozen_python150,Adapted,,10,19,True,0,0,0,0
xmltodict__xml_parse_core__001,frozen_python150,Direct,,12,15,True,0,1,0,0
yamale__schema_validate_core__hard3_001,frozen_python150,Adapted,,5,8,True,0,0,0,0
yarl__url_model_core__001,frozen_python150,Adapted,,16,34,True,0,1,0,0
