task_id,DeepSeek,Qwen3.5,Qwen3.6,GPT-OSS,models_solved,solve_fraction,lift_type,feature_family,entanglement
fs__url_opener_core__hard3_001,False,False,False,False,0,0.0,Adapted,registry_plugin_dispatch,resource_coupling
fsspec__url_chain_core__hard3_001,False,False,False,False,0,0.0,Adapted,config_resolve_discover,resource_coupling
glom__spec_eval_core__hard3_001,True,False,False,False,1,0.25,Adapted,algorithm_data_structure,parser_state_coupling
h11__message_parse_core__001,True,True,False,True,3,0.75,Direct,protocol_state_transition,parser_state_coupling
h2__frame_parse_core__001,False,True,False,False,1,0.25,Adapted,protocol_state_transition,parser_state_coupling
hatch__project_metadata_core__hard3_001,False,False,False,False,0,0.0,Adapted,resource_metadata_loading,data_model_coupling
httpx__request_model_core__001,True,False,False,False,1,0.25,Adapted,validate_normalize_construct,data_model_coupling
humanize__naturaltime_core__001,True,True,True,True,4,1.0,Direct,serialize_format_render,data_model_coupling
importlib_metadata__entry_points_core__001,True,True,True,True,4,1.0,Direct,resource_metadata_loading,config_environment_coupling
importlib_resources__traversable_tree_core__hard3_001,True,False,True,False,2,0.5,Composite,resource_metadata_loading,resource_coupling
installer__wheel_record_core__hard3_001,False,False,False,False,0,0.0,Adapted,resource_metadata_loading,resource_coupling
intervaltree__interval_tree_core__001,True,True,True,False,3,0.75,Direct,algorithm_data_structure,data_model_coupling
isodate__duration_parse_core__001,True,True,True,True,4,1.0,Adapted,parse_tokenize_decode,parser_state_coupling
isort__settings_resolver_core__hard3_001,True,False,False,False,1,0.25,Adapted,config_resolve_discover,config_environment_coupling
itsdangerous__timed_serializer_core__001,True,False,False,False,1,0.25,Adapted,serialize_format_render,data_model_coupling
jinja2__compile_render_core__001,True,False,False,False,1,0.25,Adapted,serialize_format_render,framework_coupling
jinja2__extensions_core__001,True,False,True,False,2,0.5,Adapted,registry_plugin_dispatch,framework_coupling
jinja2__filters_tests_core__001,True,True,False,False,2,0.5,Adapted,serialize_format_render,framework_coupling
jinja2__lexer_parser_core__001,True,False,False,True,2,0.5,Adapted,parse_tokenize_decode,parser_state_coupling
jinja2__loader_inheritance_core__001,True,False,False,False,1,0.25,Adapted,resource_metadata_loading,framework_coupling
json5__parse_core__001,True,False,True,False,2,0.5,Direct,parse_tokenize_decode,parser_state_coupling
json_logic__evaluator_core__hard3_001,True,False,False,True,2,0.5,Direct,cache_retry_policy,parser_state_coupling
jsonpath_ng__expression_eval_core__001,True,True,True,False,3,0.75,Direct,parse_tokenize_decode,parser_state_coupling
jsonpointer__resolve_core__001,True,True,False,True,3,0.75,Direct,parse_tokenize_decode,parser_state_coupling
jsonschema__validator_core__001,True,False,False,False,1,0.25,Direct,validate_normalize_construct,data_model_coupling
jupyter_core__paths_resolver_core__hard3_001,False,False,False,False,0,0.0,Adapted,config_resolve_discover,config_environment_coupling
jupyter_server__extension_config_core__hard3_001,False,False,False,False,0,0.0,Composite,registry_plugin_dispatch,framework_coupling
keyring__backend_select_core__hard3_001,False,False,False,False,0,0.0,Composite,registry_plugin_dispatch,framework_coupling
lark__grammar_loader_core__001,True,False,True,False,2,0.5,Direct,resource_metadata_loading,resource_coupling
lark__parse_tree_core__001,True,False,False,False,1,0.25,Direct,parse_tokenize_decode,parser_state_coupling
lark__visitor_transform_core__001,True,False,False,False,1,0.25,Adapted,algorithm_data_structure,data_model_coupling
license_expression__policy_core__hard3_001,False,False,False,False,0,0.0,Direct,parse_tokenize_decode,parser_state_coupling
mako__lexer_expression_core__001,True,False,True,False,2,0.5,Direct,parse_tokenize_decode,parser_state_coupling
markdown__extensions_core__001,True,True,True,False,3,0.75,Adapted,parse_tokenize_decode,parser_state_coupling
markdown_it__commonmark_render__001,True,False,False,False,1,0.25,Direct,parse_tokenize_decode,parser_state_coupling
marshmallow__schema_core__001,True,True,False,False,2,0.5,Direct,serialize_format_render,data_model_coupling
mkdocs__plugin_config_core__hard3_001,False,False,False,False,0,0.0,Composite,registry_plugin_dispatch,framework_coupling
msgpack__pack_unpack_core__001,True,True,True,False,3,0.75,Adapted,serialize_format_render,parser_state_coupling
multidict__multidict_mutation_core__hard3_001,False,False,False,False,0,0.0,Direct,algorithm_data_structure,data_model_coupling
networkx__dag_topo_core__001,True,False,True,True,3,0.75,Direct,algorithm_data_structure,data_model_coupling
packaging__requirement_marker_specifier__001,True,False,False,True,2,0.5,Direct,parse_tokenize_decode,parser_state_coupling
parse__format_parser_core__001,False,False,False,False,0,0.0,Direct,parse_tokenize_decode,parser_state_coupling
parsel__selector_namespace_core__hard3_001,False,False,False,False,0,0.0,Adapted,parse_tokenize_decode,data_model_coupling
parso__python_parse_core__001,True,False,False,False,1,0.25,Direct,parse_tokenize_decode,parser_state_coupling
passlib__hash_context_core__001,True,False,True,False,2,0.5,Direct,validate_normalize_construct,data_model_coupling
pathvalidate__sanitize_core__001,True,True,True,False,3,0.75,Direct,validate_normalize_construct,config_environment_coupling
pendulum__parse_format_core__001,False,False,False,False,0,0.0,Adapted,parse_tokenize_decode,parser_state_coupling
phonenumbers__parse_format_core__001,True,False,False,False,1,0.25,Direct,parse_tokenize_decode,resource_coupling
platformdirs__app_dirs_core__hard3_001,True,False,False,False,1,0.25,Adapted,config_resolve_discover,config_environment_coupling
pluggy__hook_call_order__001,True,True,True,False,3,0.75,Direct,registry_plugin_dispatch,framework_coupling
pluggy__hook_specs_core__001,True,True,True,True,4,1.0,Direct,registry_plugin_dispatch,framework_coupling
pluggy__hook_wrapper_core__hard3_001,False,False,False,False,0,0.0,Adapted,registry_plugin_dispatch,framework_coupling
poetry_core__dependency_groups_core__hard3_001,False,False,False,False,0,0.0,Composite,resource_metadata_loading,data_model_coupling
pydantic__field_validator_core__hard3_001,False,False,False,False,0,0.0,Adapted,validate_normalize_construct,data_model_coupling
pydantic_settings__env_source_core__001,False,False,False,False,0,0.0,Adapted,config_resolve_discover,config_environment_coupling
pydantic_v1__validation_error_core__001,True,False,False,False,1,0.25,Adapted,validate_normalize_construct,framework_coupling
pygments__formatter_core__001,True,True,False,True,3,0.75,Direct,serialize_format_render,parser_state_coupling
pygments__lexer_core__001,False,False,False,False,0,0.0,Direct,parse_tokenize_decode,parser_state_coupling
pyramid__configurator_action_core__hard3_001,False,True,True,False,2,0.5,Composite,workflow_session_orchestration,framework_coupling
pytest__fixture_resolve_core__001,True,False,False,True,2,0.5,Composite,registry_plugin_dispatch,framework_coupling
pytest__ini_markers_core__001,False,False,False,False,0,0.0,Composite,config_resolve_discover,config_environment_coupling
pytest__mark_expression_core__001,True,True,True,True,4,1.0,Adapted,parse_tokenize_decode,parser_state_coupling
pytest__marker_registry_core__hard3_001,False,False,False,False,0,0.0,Composite,registry_plugin_dispatch,framework_coupling
pytest__skipif_eval_core__001,True,True,True,False,3,0.75,Composite,cache_retry_policy,framework_coupling
python_box__config_box_core__001,True,True,True,False,3,0.75,Direct,config_resolve_discover,data_model_coupling
python_dateutil__relativedelta_core__001,True,True,True,False,3,0.75,Direct,algorithm_data_structure,data_model_coupling
python_dateutil__rrule_core__001,True,True,True,False,3,0.75,Direct,protocol_state_transition,parser_state_coupling
python_decouple__config_repository_core__001,False,False,False,False,0,0.0,Adapted,config_resolve_discover,config_environment_coupling
python_dotenv__env_parse_core__001,True,True,False,True,3,0.75,Direct,config_resolve_discover,config_environment_coupling
python_frontmatter__roundtrip_core__001,True,True,True,True,4,1.0,Direct,serialize_format_render,parser_state_coupling
python_multipart__form_parse_core__001,True,False,False,False,1,0.25,Direct,parse_tokenize_decode,parser_state_coupling
pyyaml__safe_load_dump__001,True,False,True,False,2,0.5,Adapted,serialize_format_render,parser_state_coupling
readme_renderer__content_type_core__hard3_001,False,False,False,False,0,0.0,Adapted,serialize_format_render,data_model_coupling
redis__resp_parser_core__001,True,False,True,True,3,0.75,Adapted,protocol_state_transition,parser_state_coupling
referencing__json_schema_refs_core__001,True,True,False,True,3,0.75,Adapted,config_resolve_discover,data_model_coupling
requests_cache__cache_key_core__hard3_001,False,False,False,False,0,0.0,Composite,cache_retry_policy,third_party_dependency_coupling
responses__request_matcher_core__hard3_001,True,True,False,False,2,0.5,Composite,registry_plugin_dispatch,third_party_dependency_coupling
returns__result_pipeline_core__hard3_001,True,True,True,True,4,1.0,Adapted,workflow_session_orchestration,data_model_coupling
rfc3986__uri_parse_core__001,True,True,True,False,3,0.75,Adapted,parse_tokenize_decode,parser_state_coupling
rich__markup_parse_core__001,True,True,True,False,3,0.75,Adapted,parse_tokenize_decode,parser_state_coupling
ruamel_yaml__roundtrip_core__001,True,False,True,False,2,0.5,Adapted,serialize_format_render,parser_state_coupling
schema__nested_validate_core__hard3_001,False,False,False,False,0,0.0,Adapted,validate_normalize_construct,data_model_coupling
scrapy__item_loader_core__hard3_001,False,False,True,False,1,0.25,Adapted,registry_plugin_dispatch,framework_coupling
setuptools_scm__version_normalize_core__hard3_001,False,False,False,False,0,0.0,Adapted,resource_metadata_loading,data_model_coupling
sortedcontainers__sorted_list_core__001,True,True,True,False,3,0.75,Direct,algorithm_data_structure,data_model_coupling
sphinx__extension_registry_core__hard3_001,False,True,True,False,2,0.5,Composite,registry_plugin_dispatch,framework_coupling
sqlalchemy__event_dispatch_core__hard3_001,True,True,True,True,4,1.0,Adapted,registry_plugin_dispatch,framework_coupling
sqlparse__format_filters_core__001,True,True,False,False,2,0.5,Direct,serialize_format_render,parser_state_coupling
sqlparse__parse_format_core__001,True,True,True,False,3,0.75,Adapted,parse_tokenize_decode,parser_state_coupling
sqlparse__parse_split_core__001,True,False,False,False,1,0.25,Adapted,parse_tokenize_decode,parser_state_coupling
sqlparse__token_tree_core__001,True,True,True,False,3,0.75,Adapted,parse_tokenize_decode,parser_state_coupling
starlette__route_matching_core__hard3_001,False,False,False,False,0,0.0,Adapted,registry_plugin_dispatch,framework_coupling
stevedore__extension_manager_core__hard3_001,True,False,True,False,2,0.5,Composite,registry_plugin_dispatch,framework_coupling
tabulate__table_format_core__001,True,False,False,False,1,0.25,Direct,serialize_format_render,data_model_coupling
tenacity__retry_state_core__hard3_001,False,True,False,False,1,0.25,Adapted,cache_retry_policy,data_model_coupling
tomlkit__roundtrip_document__001,True,False,False,False,1,0.25,Direct,serialize_format_render,data_model_coupling
tox__factor_expression_core__hard3_001,False,False,True,True,2,0.5,Adapted,parse_tokenize_decode,parser_state_coupling
trafaret__validation_rules_core__hard3_001,True,False,False,False,1,0.25,Adapted,validate_normalize_construct,data_model_coupling
transitions__state_machine_core__hard3_001,False,True,False,False,1,0.25,Adapted,protocol_state_transition,data_model_coupling
typer__command_parser_core__001,False,False,False,False,0,0.0,Direct,workflow_session_orchestration,framework_coupling
urllib3__retry_backoff_core__001,True,True,True,True,4,1.0,Direct,cache_retry_policy,config_environment_coupling
virtualenv__interpreter_spec_core__hard3_001,False,False,False,False,0,0.0,Adapted,parse_tokenize_decode,resource_coupling
voluptuous__schema_validate_core__001,True,False,True,False,2,0.5,Direct,validate_normalize_construct,data_model_coupling
websockets__handshake_parse_core__001,True,True,False,False,2,0.5,Adapted,protocol_state_transition,parser_state_coupling
werkzeug__routing_core__001,True,True,False,False,2,0.5,Adapted,registry_plugin_dispatch,framework_coupling
wheel__metadata_normalize_core__hard3_001,False,False,False,False,0,0.0,Adapted,resource_metadata_loading,data_model_coupling
wsproto__frame_parse_core__001,True,False,True,False,2,0.5,Adapted,protocol_state_transition,parser_state_coupling
xmltodict__xml_parse_core__001,True,True,True,False,3,0.75,Direct,serialize_format_render,parser_state_coupling
yamale__schema_validate_core__hard3_001,False,False,False,False,0,0.0,Adapted,validate_normalize_construct,data_model_coupling
yarl__url_model_core__001,True,True,True,True,4,1.0,Adapted,parse_tokenize_decode,parser_state_coupling
