task_id,spec_status,spec_hash,task_revision
hatch__project_metadata_core__hard3_001,compliant,5d2fdb304437ea0f94c726cb302d3c0c46556512b3af409e1ad1ed7c65ce2b67,4
httpx__request_model_core__001,compliant,55f45b33f55ccb66992a311ae7c16f34572312af6075aa740e1ace34034c9f75,2
humanize__naturaltime_core__001,compliant,00a219854dadc4fd399cb391aa232b3e52dfe6caadb19ddf61d1b251dadd3e97,2
importlib_metadata__entry_points_core__001,compliant,105cfd4ee0efa1b4a42bfbaa87a633d0191ef1ee8b397f31ccbd023be3105cc2,2
importlib_resources__traversable_tree_core__hard3_001,compliant,fcb3aed20db88b8d243807e7dea483c804166365877f5b86b7f9087fa8c8cc3b,4
installer__wheel_record_core__hard3_001,compliant,0d9af181d0cf467411a82b44d6b6dbbc5342a6ef1be551e71acc83a0b710acd9,4
intervaltree__interval_tree_core__001,compliant,b8b0f5d7945c2a0a72081f872f40a3310f021114b4990e776a1e8fe324ce98ff,2
isodate__duration_parse_core__001,compliant,368ac121abfc5bc9643fce773d9133f46fccee35fb065f864065434dc24cd33c,3
isort__settings_resolver_core__hard3_001,compliant,089c0ba4a2534e9352c46142d8c2e88c87e28ebe6f9ed66094aceffe1944a21a,6
jinja2__compile_render_core__001,compliant,2a89086d9f354a6b42b6892cb66151a67933ce322a7dce952503cf18005ed20b,2
jinja2__extensions_core__001,compliant,99f887f6f418aa36acdc5c51698a283fa22aa6fbb9b125055376be116fd06ca3,2
jinja2__filters_tests_core__001,compliant,ac4598f2d834c970ad11f8e0e027f96c35359121055f566df8c153e01bb3b4c5,2
jinja2__lexer_parser_core__001,compliant,d0e741d88f6da8a134e3e715f8cb44e97ba752bcb4ba613f65f89442ee6bdd75,3
jinja2__loader_inheritance_core__001,compliant,bc89e78c0f9b6418c822a5cca527f64eaf09cfb6225ba78556d6a84a9e39744d,3
json5__parse_core__001,compliant,778f145d6d1242f741b34d42d6f12b86808e78d96f7d854451b47b459a549f10,2
json_logic__evaluator_core__hard3_001,compliant,0b9bc7ba723f9b2b5c7f8efabdfd8467715516d267110b07d6d8c59f236be028,4
jsonpath_ng__expression_eval_core__001,compliant,03fb97edc4fedb30aabdd323cd3ab22f5f65fb85140f35f61c448101a1214d57,2
jsonpointer__resolve_core__001,compliant,1188e1fe924b2936e4355a6c5d3a55388c405b24b72bea751c9897bc906b9e7e,2
jsonschema__validator_core__001,compliant,ce4191aea0090c071a9a01bc279d5532c48ba03e0f8d1518b06847a15504caf7,2
jupyter_core__paths_resolver_core__hard3_001,compliant,ef92ca805f736b459aa8b999cf9af2ffdba02758da184c5bf789d58d36a17ba4,4
jupyter_server__extension_config_core__hard3_001,compliant,968163167bbbbe44a670e1b7b93890e785b885ddaa7db100b6dd60688b837c7b,4
keyring__backend_select_core__hard3_001,compliant,145dd1d6dd73670951f79db1297dff338a1dab289e58bf6aeae42fef8a6115c2,4
lark__grammar_loader_core__001,compliant,6ed0de74ae83a47bf634684478273a1023d6edeb7a31f187578a0194ce7fa5bb,3
lark__parse_tree_core__001,compliant,f98c0c2488bb2bc2d1dec83c5634e063bf1ac86a268aa355d19f2c9e3f56657e,2
lark__visitor_transform_core__001,compliant,9a9d1b818d6584763f2a07054add6701c4a645fb5337cb6fafabdd79ce30d808,4
license_expression__policy_core__hard3_001,compliant,46b13611b18fd938758de5cebb67ab9999b3fe6564f7d4f5cfc39bb2977a6ada,4
mako__lexer_expression_core__001,compliant,d348c61290f0dc8fe5d26b4a02f41df5ff64f44cba2da5b14fa338a953eb36f9,2
markdown__extensions_core__001,compliant,3a090b25d5185b7e78d7218eeb5e72de84dd8dc0aed0b75c612c991c0b793f42,2
markdown_it__commonmark_render__001,compliant,7336d671edbb5962768cbe011199272bc72123d5c025eb676ad5ea6e2a4d4e9b,2
marshmallow__schema_core__001,compliant,5c532a7224ae5a623a473272f19a03998de79bf8e958a975f2f33011ae0834d6,2
mkdocs__plugin_config_core__hard3_001,compliant,d7634fd3a66d4cf3189189b011afa1b58fd940002f0710f873b128ef59c23f47,4
msgpack__pack_unpack_core__001,compliant,9a349f2e1fcd9ba1003101a3a2ef54551b7283fcfc89ddb6bba346aacadbbe6b,2
multidict__multidict_mutation_core__hard3_001,compliant,d14da365c2a596ea5f192754da0c5531a7a4ee5590c47ad62567c66a90bc9b0b,4
networkx__dag_topo_core__001,compliant,3867da5f0e32459bfe61a7115a4ba6683e1787adcbbf9064a652cecf23d0dffe,2
packaging__requirement_marker_specifier__001,compliant,86863aa3fb15f56b63d17f1a0c331bab99a50e884a368210bd51390a8f4e1379,2
parsel__selector_namespace_core__hard3_001,compliant,f3d82e478aeafbd1000732c8c2f89b228603374fb68e96b9b757136ae62824ea,4
parso__python_parse_core__001,compliant,971501b773e2abacc21b86e768dcd8606ed52ae2ef06d2d5255c2d15fd3b0f81,2
passlib__hash_context_core__001,compliant,850b3f98471dba9b5c03eb9c43706760140f0f7aaaeb5d7021950b8c7547a7e4,2
pathvalidate__sanitize_core__001,compliant,540edb5b08a7d96d6049b054bd35fa941940855edb8f16c11733811b079cdfd9,2
pendulum__parse_format_core__001,compliant,74068f7d2ad37af0ee0b6edea9b4de5f4433b66ba81566ed7cc7e57a1ac50be2,2
phonenumbers__parse_format_core__001,compliant,9151b2fed087fde11a4d7ed107b77182935b0d7cc9d6f5f2ea3b647a1177ec3a,2
platformdirs__app_dirs_core__hard3_001,compliant,f581508584929069482376fe59dfa84717b169ec70609a46fe8f539d8f276aa6,4
pluggy__hook_call_order__001,compliant,7a53388435af085c9a5d739dbb70ebc92858f8b48ba5169d6ab5ff77a65e3f53,2
pluggy__hook_specs_core__001,compliant,17ac94a090dba4d724be03be064ae6b53e0a8337e51c5e14554a51e14b0ea9c9,2
pluggy__hook_wrapper_core__hard3_001,compliant,48ff3245d4de79e32e3dea79f69deb801fbdf5e289947bbe5baa91950008438e,4
poetry_core__dependency_groups_core__hard3_001,compliant,93ea8bb9faed669af11182c2ce23c9ce49c2f70228e7b78346903dcb727a802c,4
pydantic__field_validator_core__hard3_001,compliant,289aaa012b560ef01de579ebcd8b73d8ef478bca84a1e9e1e7316831d04ff9f5,4
pydantic_settings__env_source_core__001,compliant,6473b4beee0e671a06dae753afb96fcd9181ac8c563e6094698fdafd99a530cb,2
pydantic_v1__validation_error_core__001,compliant,eb8ed1c3db4b209a2a7e56243ad9eebf6445ee3975fe2fdb4d0f21d4e2350e5d,3
pygments__formatter_core__001,compliant,47b0ccc9b2ec17bfd9455033ad82b9a9310df6ce781321b8ff462d53908bde1c,2
pygments__lexer_core__001,compliant,9059d49dc3f120cc07c5c6b7156dfb61c1a1260c56f3b7cc160575cba537cb7f,2
pyramid__configurator_action_core__hard3_001,compliant,ce930d4daee4c5b53ea0cdeedf260465caddc366cce6039d6f73a2c8d74b3545,4
pytest__fixture_resolve_core__001,compliant,ec173e1dda6a8c86ed01d1fdd3770ed134d8acd503eacb413280b06f7cb33ec7,2
pytest__ini_markers_core__001,compliant,8ae50e23a66d91002fd6f3fc4029593ca4d504137c2ec071805e693d8c023a18,2
pytest__mark_expression_core__001,compliant,4ae6c8145bb3589f92dcbf6bebe5d31013b0103b0caf1bfad29a70bcab6d94b9,3
pytest__marker_registry_core__hard3_001,compliant,ea8422c4f2af4de6e2844713c01b61ded5062c7181bcff0e9def457ab8402a00,4
pytest__skipif_eval_core__001,compliant,226600137f9d78b680753fc69304c33628d401ea6edf39d45ebdf7e1bc7ff94a,2
python_box__config_box_core__001,compliant,8a8b0f0011bae15d901621f22d4a6ebb0d075c807f87bf58eecfde42e5c06106,2
python_dateutil__relativedelta_core__001,compliant,95ac4c979f5943f66323833e3e2ff3a01ba66cebd033a778e4e2d9bf511cefc1,2
python_dateutil__rrule_core__001,compliant,b9aa48529e402fb358754ceccae85cc28cf0140cfe6008f63a6689ee124cdcf8,2
python_dotenv__env_parse_core__001,compliant,564cec12eb385ab6577efa1e1ee8e00d16272c7c154605f189579c89ff778182,2
python_frontmatter__roundtrip_core__001,compliant,0c8518fe7be20784c41a9819e1247d7c271f6da45ec516a25deb2ca10508869e,2
python_multipart__form_parse_core__001,compliant,bfeaa12c14259f7cfd05b2fa5d0b0479799a1ea60e4ac6dc941a3e3708394660,2
pyyaml__safe_load_dump__001,compliant,1ca38c26acd168ebe4c01715f4444749e72c804854fa1675f8670a3cbc5c9ea4,2
readme_renderer__content_type_core__hard3_001,compliant,0758964a52103dd2f919f4a25ef006208b3e2bbe2c1a9438f23327a08a70d42f,4
redis__resp_parser_core__001,compliant,3fa13a91a143562827462eaa131bbe8c78e35d96b480a588a31f351257cc90f9,3
referencing__json_schema_refs_core__001,compliant,96062da8057ee2d959201f893d1b43b20f8854f17eafd9d7d8021150f702bb48,2
requests_cache__cache_key_core__hard3_001,compliant,0a112f99b4f23fb0f29b5b3dd92e8f8f4d7f5765acbf531037a111ddd23b282c,4
responses__request_matcher_core__hard3_001,compliant,5dc3f57195d09ca77d6ae3db3aea5f1f1671cd58e0b05a192dabd122087ff09b,4
returns__result_pipeline_core__hard3_001,compliant,fdbe4455f651c9721048fbfa472ebdae54ffc4df9502eba8ce59ae08131605a9,4
rfc3986__uri_parse_core__001,compliant,39b22737672b3f00e1bbda2904b366dc9358c75a17aebebc9f346e0729cbd44a,2
rich__markup_parse_core__001,compliant,80f41a77164798926238835f30365620349d193256e0c9e62fc93a4c3d38a0ec,3
ruamel_yaml__roundtrip_core__001,compliant,b3a26f13c64d1e24180b5844a979959798d9fbe9b7f22290c651622df7e0e773,2
schema__nested_validate_core__hard3_001,compliant,dba8bc6946b2c33ed086eff2368a8547a0c4d83f5d168596afb051abf08f48b7,4
scrapy__item_loader_core__hard3_001,compliant,57f579c3d9dacf2f5b3fe95d23589c9bcddb9c7a1d75e8cffa0dcc3d8ca449cc,5
setuptools_scm__version_normalize_core__hard3_001,compliant,868ee7f265c7bdb9902432932b1fe1989d2e8d81872c7d048c48f38329fa1328,4
sortedcontainers__sorted_list_core__001,compliant,fd7e0f317b3b5a111de3590023becbffd9c60dab872c5e2e3f369a823b8ee4ab,2
sphinx__extension_registry_core__hard3_001,compliant,c01cea25608024019173e9c1844949ef931554322154a1526af8c808b58d9d7c,4
sqlalchemy__event_dispatch_core__hard3_001,compliant,97a381c16d57ac7b5438f0acb052cabd4583062de8ac279b1873684307a7bf3f,4
sqlparse__format_filters_core__001,compliant,cf96b43d6b971a9394804617b15eb855ce475a51ecc79b80550cd9e7396890ee,2
sqlparse__parse_format_core__001,compliant,91eca3c3b5bee99da00b7514300f24d15d2d16b7f0e6da7f057fc6258ebf9db4,2
sqlparse__parse_split_core__001,compliant,e44baec6096c2857d513d31ebef3d46f490f8295b57568fc1a574f8b8aa771ee,2
sqlparse__token_tree_core__001,compliant,dafe65fc83681269f395835e50558b0c4a930366b82f98b219ad2acb8ea21740,2
starlette__route_matching_core__hard3_001,compliant,69bc5cc8ee9dcb149eaf73054d01f95b478064f999eea81119a4b5ed48b9faa0,4
stevedore__extension_manager_core__hard3_001,compliant,8778926e56703d935ea0b3e8a5d74c414c3bef7a6e3a0999dc8576bcdc45e0bd,4
tabulate__table_format_core__001,compliant,47fc6f96085db36f530e568460dbf64d88c60daf15e7389118bc6b266b705ae7,3
tenacity__retry_state_core__hard3_001,compliant,fe1b7ee1ec0181d11d0af0ebcb07bbdbe79ffc0baa00b8074b7c1027aefe10e8,4
tomlkit__roundtrip_document__001,compliant,bc220060189f47236bf0f9a9d7eef9d91074ba70f3b9fbd801ecc70cd3f878a3,2
tox__factor_expression_core__hard3_001,compliant,45ed97bd79f0311bf21e266882569566e237ff7abef2743b30822cf12f8d2a7e,4
trafaret__validation_rules_core__hard3_001,compliant,c782269b460451ae81318dd422b9ba3e189957126df400ce0fe8772827168eec,4
transitions__state_machine_core__hard3_001,compliant,0e11c6db93094cec47c518ed3c1795f9ae78a588706ff814fc46cf6ab6045b0b,5
typer__command_parser_core__001,compliant,44033b3e0466e88d1f5c10e09c43ebe7c66ce3ee1a539e6b17cbf412477c24fc,3
urllib3__retry_backoff_core__001,compliant,9376fa24822ce6b74e5eb1d6502b27eceebf9cb4699dfb743119d1223c485614,3
vibe_app__csv_transform_core__001,compliant,63790675a40045186583a3447602480c23dfb17171bb2f7b73467b9dd5be8c1c,2
vibe_app__orm_query_ast_core__001,compliant,3426108ed0ea4bae5bdb2984748e6a71974bb069ab2dfcc5fb794aa87f64e518,2
vibe_app__plugin_registry_core__001,compliant,3dccdb79107b84dd626bd4b6e2907f751f6ad8a1247a140e617454d0bdd87243,3
vibe_app__pricing_rules_core__001,compliant,36661ee2f7950627c4460cb9c001dae55d7e05d6561ca4709a5f405572234e85,2
vibe_app__rules_engine_core__001,compliant,07dccad11cd753f2eb66515427d67e250783f180f97f0f72560cac6997c2ce9a,2
vibe_app__session_registry_core__001,compliant,5434fe3f2029a89edd2f758fb2d1849f20c6f5d9e19a6e0e6b2065ef72577c32,2
vibe_app__yaml_config_bootstrap__001,compliant,4561415b11dd5d0ea4f0e953e5b0ae9a86ebd2ccf717a42a6ef30635619097ee,2
virtualenv__interpreter_spec_core__hard3_001,compliant,fa0965593b6a76a43bbf7b4acf1131d4ed329978f16689343e47d0f21a58f0e6,4
voluptuous__schema_validate_core__001,compliant,e2e4bc06d000be39f126c64844394b79edfc446b964d07a08a913ae00417bd0b,2
websockets__handshake_parse_core__001,compliant,edf208bcea7693a9cd33dc2b9a12a16840e3e870b75e7798a2533ee13ec4ab17,3
werkzeug__routing_core__001,compliant,a6265ae005d3514a9bfb3c0ef4e17f87b1b76e5134d2a22b71613c2444689c9b,3
wheel__metadata_normalize_core__hard3_001,compliant,50adc854ee71337a51579c30d4a00a9e84814372ed1b8165d0a08c1fdc0ff3e9,4
wsproto__frame_parse_core__001,compliant,d4c93fa2d22e8467c37b79eb5d417e992dcc78b1d6a63301bc7c1f7c1c86d334,3
xmltodict__xml_parse_core__001,compliant,c4823953221fce2f3c91add6ba85159a89b8407f385b992aee20e58fb62ffdf0,2
yamale__schema_validate_core__hard3_001,compliant,fd728eb934a36f17faa2e2f554dd79ddbaddfc01ead4f6fd5c3842e02436acba,4
yarl__url_model_core__001,compliant,513ab5098702616e145ec94dcb39aada2ec2817890fa74cc78457bab31210e7f,3
