task_id,verdict,source_kind,source_repo_id,source_snapshot_id,source_revision_kind,source_status,package_validation,contract,no_hint,full_repository,autonomous_workflow,v2_oracle_isolation,functional_metric,compactness,v2_freeze,difficulty_recalibration,legacy_repo_files,legacy_repo_python_files,legacy_repo_upstream_tests,required_api_count,behavior_count,blockers
isort__settings_resolver_core__hard3_001,pass,external_oss,github__pycqa__isort,github__pycqa__isort__8422ea593a22,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,7,4,0,8,11,
jinja2__compile_render_core__001,pass,external_oss,github__pallets__jinja,github__pallets__jinja__9a72443c8587,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,117,60,24,3,5,
jinja2__extensions_core__001,pass,external_oss,github__pallets__jinja,github__pallets__jinja__9a72443c8587,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,117,60,24,4,5,
jinja2__filters_tests_core__001,pass,external_oss,github__pallets__jinja,github__pallets__jinja__9a72443c8587,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,117,60,24,4,7,
jinja2__lexer_parser_core__001,pass,external_oss,github__pallets__jinja,github__pallets__jinja__9a72443c8587,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,117,60,24,4,5,
jinja2__loader_inheritance_core__001,pass,external_oss,github__pallets__jinja,github__pallets__jinja__9a72443c8587,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,117,60,24,4,5,
json5__parse_core__001,pass,external_oss,github__dpranke__pyjson5,github__dpranke__pyjson5__31c7118aa7ba,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,4,4,0,2,6,
json_logic__evaluator_core__hard3_001,pass,external_oss,github__nadirizr__json_logic_py,github__nadirizr__json_logic_py__ba7f0a8e6175,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,4,2,0,1,4,
jsonpath_ng__expression_eval_core__001,pass,external_oss,github__h2non__jsonpath_ng,github__h2non__jsonpath_ng__8d7356dcb6f2,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,29,14,0,2,6,
jsonpointer__resolve_core__001,pass,external_oss,github__stefankoegl__python_json_pointer,github__stefankoegl__python_json_pointer__362d9007ed9e,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,22,4,0,7,5,
jsonschema__validator_core__001,pass,external_oss,github__python_jsonschema__jsonschema,github__python_jsonschema__jsonschema__032f23149b5a,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,69,34,16,5,6,
jupyter_core__paths_resolver_core__hard3_001,pass,external_oss,github__jupyter__jupyter_core,github__jupyter__jupyter_core__23116e7ef136,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,7,4,0,5,6,
jupyter_server__extension_config_core__hard3_001,pass,external_oss,github__jupyter_server__jupyter_server,github__jupyter_server__jupyter_server__5d69754e9c60,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,7,4,0,4,4,
keyring__backend_select_core__hard3_001,pass,external_oss,github__jaraco__keyring,github__jaraco__keyring__4c51f18f5ba6,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,8,6,0,10,9,
lark__grammar_loader_core__001,pass,external_oss,github__lark_parser__lark,github__lark_parser__lark__c80e589ad9d9,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,40,35,0,3,5,
lark__parse_tree_core__001,pass,external_oss,github__lark_parser__lark,github__lark_parser__lark__702440140c56,tag_or_version,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,35,29,0,5,6,
lark__visitor_transform_core__001,pass,external_oss,github__lark_parser__lark,github__lark_parser__lark__702440140c56,tag_or_version,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,35,29,0,6,6,
license_expression__policy_core__hard3_001,pass,external_oss,github__aboutcode_org__license_expression,github__aboutcode_org__license_expression__d9952b0e2bc0,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,5,2,0,4,10,
mako__lexer_expression_core__001,pass,external_oss,github__sqlalchemy__mako,github__sqlalchemy__mako__8e2a8cd3a196,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,34,33,0,6,5,
markdown__extensions_core__001,pass,external_oss,github__python_markdown__markdown,github__python_markdown__markdown__73b4842a1e1c,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,52,52,1,2,4,
markdown_it__commonmark_render__001,pass,external_oss,github__executablebooks__markdown_it_py,github__executablebooks__markdown_it_py__4c5e1b22e6a4,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,130,64,0,1,5,
marshmallow__schema_core__001,pass,external_oss,github__marshmallow_code__marshmallow,github__marshmallow_code__marshmallow__a4ceae103333,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,15,14,0,6,5,
mkdocs__plugin_config_core__hard3_001,pass,external_oss,github__mkdocs__mkdocs,github__mkdocs__mkdocs__b396880fcfb1,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,7,4,0,3,4,
msgpack__pack_unpack_core__001,pass,external_oss,github__msgpack__msgpack_python,github__msgpack__msgpack_python__6a3273526c81,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,61,25,19,12,7,
multidict__multidict_mutation_core__hard3_001,pass,external_oss,github__aio_libs__multidict,github__aio_libs__multidict__083c5e312e59,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,8,4,0,4,5,
networkx__dag_topo_core__001,pass,external_oss,github__networkx__networkx,github__networkx__networkx__10a1adf783f3,tag_or_version,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,26,26,0,7,7,
packaging__requirement_marker_specifier__001,pass,external_oss,github__pypa__packaging,github__pypa__packaging__0bfdf1744eb5,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,30,14,0,10,6,
parsel__selector_namespace_core__hard3_001,pass,external_oss,github__scrapy__parsel,github__scrapy__parsel__a14385bf15d8,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,4,2,0,4,4,
parso__python_parse_core__001,pass,external_oss,github__davidhalter__parso,github__davidhalter__parso__f28d112ed2c9,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,56,42,0,3,5,
passlib__hash_context_core__001,pass,external_oss,source__foss_heptapod_net__fff35bde6fd1,source__foss_heptapod_net__fff35bde6fd1__d316cb7bd61f,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,102,93,26,1,4,
pathvalidate__sanitize_core__001,pass,external_oss,github__thombashi__pathvalidate,github__thombashi__pathvalidate__20e86fb22690,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,96,32,12,11,6,
pendulum__parse_format_core__001,pass,external_oss,github__sdispater__pendulum,github__sdispater__pendulum__970a8c189aaa,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,123,119,0,10,6,
phonenumbers__parse_format_core__001,pass,external_oss,github__daviddrysdale__python_phonenumbers,github__daviddrysdale__python_phonenumbers__a72d28a419ff,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,45,29,0,6,4,
platformdirs__app_dirs_core__hard3_001,pass,external_oss,github__tox_dev__platformdirs,github__tox_dev__platformdirs__d6eab461f0cf,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,9,6,0,3,7,
pluggy__hook_call_order__001,pass,external_oss,github__pytest_dev__pluggy,github__pytest_dev__pluggy__c62999277ecb,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,14,7,0,4,8,
pluggy__hook_specs_core__001,pass,external_oss,github__pytest_dev__pluggy,github__pytest_dev__pluggy__c62999277ecb,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,7,7,0,4,8,
pluggy__hook_wrapper_core__hard3_001,pass,external_oss,github__pytest_dev__pluggy,github__pytest_dev__pluggy__0d767d1d9c54,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,6,4,0,1,4,
poetry_core__dependency_groups_core__hard3_001,pass,external_oss,github__python_poetry__poetry_core,github__python_poetry__poetry_core__e0b3981cde6a,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,7,4,0,4,4,
pydantic__field_validator_core__hard3_001,pass,external_oss,github__pydantic__pydantic,github__pydantic__pydantic__4a1b25d08f22,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,4,2,0,3,4,
pydantic_settings__env_source_core__001,pass,external_oss,github__pydantic__pydantic_settings,github__pydantic__pydantic_settings__656b6174508d,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,23,22,0,3,5,
pydantic_v1__validation_error_core__001,pass,external_oss,github__pydantic__pydantic,github__pydantic__pydantic__5642e78c15f5,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,77,52,0,6,6,
pygments__formatter_core__001,pass,external_oss,github__pygments__pygments,github__pygments__pygments__4330994af0fe,tag_or_version,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,303,302,0,3,6,
pygments__lexer_core__001,pass,external_oss,github__pygments__pygments,github__pygments__pygments__4330994af0fe,tag_or_version,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,316,302,0,4,6,
pyramid__configurator_action_core__hard3_001,pass,external_oss,github__pylons__pyramid,github__pylons__pyramid__d99a36b679fa,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,7,4,0,2,5,
pytest__fixture_resolve_core__001,pass,external_oss,github__pytest_dev__pytest,github__pytest_dev__pytest__4bec256f35f8,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,601,256,130,7,6,
pytest__ini_markers_core__001,pass,external_oss,github__pytest_dev__pytest,github__pytest_dev__pytest__4bec256f35f8,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,601,256,130,3,6,
pytest__mark_expression_core__001,pass,external_oss,github__pytest_dev__pytest,github__pytest_dev__pytest__4bec256f35f8,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,601,256,130,3,5,
pytest__marker_registry_core__hard3_001,pass,external_oss,github__pytest_dev__pytest,github__pytest_dev__pytest__41b75f32604d,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,4,2,0,3,4,
pytest__skipif_eval_core__001,pass,external_oss,github__pytest_dev__pytest,github__pytest_dev__pytest__4bec256f35f8,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,601,256,130,3,5,
python_box__config_box_core__001,pass,external_oss,github__cdgriffith__box,github__cdgriffith__box__8256206601ad,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,16,8,0,3,5,
python_dateutil__relativedelta_core__001,pass,external_oss,github__dateutil__dateutil,github__dateutil__dateutil__8f9462716028,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,12,8,0,8,7,
python_dateutil__rrule_core__001,pass,external_oss,github__dateutil__dateutil,github__dateutil__dateutil__8f9462716028,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,18,17,0,14,6,
python_dotenv__env_parse_core__001,pass,external_oss,github__theskumar__python_dotenv,github__theskumar__python_dotenv__e50d0b4faa5c,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,46,20,10,3,6,
python_frontmatter__roundtrip_core__001,pass,external_oss,github__eyeseast__python_frontmatter,github__eyeseast__python_frontmatter__d4da767cde15,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,54,13,3,7,6,
