task_id,pass,validation_pass,source_pass,workspace_pass,contract_pass,capsule_pass,compactness_pass,split_pass,issues
email_validator__validate_core__001,True,True,True,True,True,True,True,True,
environs__typed_env_core__001,True,True,True,True,True,True,True,True,
faker__provider_core__001,True,True,True,True,True,True,True,True,
filelock__reentrant_lock_core__001,True,True,True,True,True,True,True,True,
flake8__plugin_options_core__hard3_001,True,True,True,True,True,True,True,True,
flask__route_dispatch_core__001,True,True,True,True,True,True,True,True,
fs__url_opener_core__hard3_001,True,True,True,True,True,True,True,True,
fsspec__url_chain_core__hard3_001,True,True,True,True,True,True,True,True,
glom__spec_eval_core__hard3_001,True,True,True,True,True,True,True,True,
h11__message_parse_core__001,True,True,True,True,True,True,True,True,
h2__frame_parse_core__001,True,True,True,True,True,True,True,True,
hatch__project_metadata_core__hard3_001,True,True,True,True,True,True,True,True,
httpx__request_model_core__001,True,True,True,True,True,True,True,True,
humanize__naturaltime_core__001,True,True,True,True,True,True,True,True,
importlib_metadata__entry_points_core__001,True,True,True,True,True,True,True,True,
importlib_resources__traversable_tree_core__hard3_001,True,True,True,True,True,True,True,True,
installer__wheel_record_core__hard3_001,True,True,True,True,True,True,True,True,
intervaltree__interval_tree_core__001,True,True,True,True,True,True,True,True,
isodate__duration_parse_core__001,True,True,True,True,True,True,True,True,
isort__settings_resolver_core__hard3_001,True,True,True,True,True,True,True,True,
itsdangerous__timed_serializer_core__001,True,True,True,True,True,True,True,True,
jinja2__compile_render_core__001,True,True,True,True,True,True,True,True,
jinja2__extensions_core__001,True,True,True,True,True,True,True,True,
jinja2__filters_tests_core__001,True,True,True,True,True,True,True,True,
jinja2__lexer_parser_core__001,True,True,True,True,True,True,True,True,
jinja2__loader_inheritance_core__001,True,True,True,True,True,True,True,True,
json5__parse_core__001,True,True,True,True,True,True,True,True,
json_logic__evaluator_core__hard3_001,True,True,True,True,True,True,True,True,
jsonpath_ng__expression_eval_core__001,True,True,True,True,True,True,True,True,
jsonpointer__resolve_core__001,True,True,True,True,True,True,True,True,
jsonschema__validator_core__001,True,True,True,True,True,True,True,True,
jupyter_core__paths_resolver_core__hard3_001,True,True,True,True,True,True,True,True,
jupyter_server__extension_config_core__hard3_001,True,True,True,True,True,True,True,True,
keyring__backend_select_core__hard3_001,True,True,True,True,True,True,True,True,
lark__grammar_loader_core__001,True,True,True,True,True,True,True,True,
lark__parse_tree_core__001,True,True,True,True,True,True,True,True,
lark__visitor_transform_core__001,True,True,True,True,True,True,True,True,
license_expression__policy_core__hard3_001,True,True,True,True,True,True,True,True,
mako__lexer_expression_core__001,True,True,True,True,True,True,True,True,
markdown__extensions_core__001,True,True,True,True,True,True,True,True,
markdown_it__commonmark_render__001,True,True,True,True,True,True,True,True,
marshmallow__schema_core__001,True,True,True,True,True,True,True,True,
mkdocs__plugin_config_core__hard3_001,True,True,True,True,True,True,True,True,
msgpack__pack_unpack_core__001,True,True,True,True,True,True,True,True,
multidict__multidict_mutation_core__hard3_001,True,True,True,True,True,True,True,True,
networkx__dag_topo_core__001,True,True,True,True,True,True,True,True,
packaging__requirement_marker_specifier__001,True,True,True,True,True,True,True,True,
parse__format_parser_core__001,True,True,True,True,True,True,True,True,
parsel__selector_namespace_core__hard3_001,True,True,True,True,True,True,True,True,
parso__python_parse_core__001,True,True,True,True,True,True,True,True,
passlib__hash_context_core__001,True,True,True,True,True,True,True,True,
pathvalidate__sanitize_core__001,True,True,True,True,True,True,True,True,
pendulum__parse_format_core__001,True,True,True,True,True,True,True,True,
phonenumbers__parse_format_core__001,True,True,True,True,True,True,True,True,
platformdirs__app_dirs_core__hard3_001,True,True,True,True,True,True,True,True,
pluggy__hook_call_order__001,True,True,True,True,True,True,True,True,
pluggy__hook_specs_core__001,True,True,True,True,True,True,True,True,
pluggy__hook_wrapper_core__hard3_001,True,True,True,True,True,True,True,True,
poetry_core__dependency_groups_core__hard3_001,True,True,True,True,True,True,True,True,
pydantic__field_validator_core__hard3_001,True,True,True,True,True,True,True,True,
pydantic_settings__env_source_core__001,True,True,True,True,True,True,True,True,
pydantic_v1__validation_error_core__001,True,True,True,True,True,True,True,True,
pygments__formatter_core__001,True,True,True,True,True,True,True,True,
pygments__lexer_core__001,True,True,True,True,True,True,True,True,
pyramid__configurator_action_core__hard3_001,True,True,True,True,True,True,True,True,
pytest__fixture_resolve_core__001,True,True,True,True,True,True,True,True,
pytest__ini_markers_core__001,True,True,True,True,True,True,True,True,
pytest__mark_expression_core__001,True,True,True,True,True,True,True,True,
pytest__marker_registry_core__hard3_001,True,True,True,True,True,True,True,True,
pytest__skipif_eval_core__001,True,True,True,True,True,True,True,True,
python_box__config_box_core__001,True,True,True,True,True,True,True,True,
python_dateutil__relativedelta_core__001,True,True,True,True,True,True,True,True,
python_dateutil__rrule_core__001,True,True,True,True,True,True,True,True,
python_decouple__config_repository_core__001,True,True,True,True,True,True,True,True,
python_dotenv__env_parse_core__001,True,True,True,True,True,True,True,True,
python_frontmatter__roundtrip_core__001,True,True,True,True,True,True,True,True,
python_multipart__form_parse_core__001,True,True,True,True,True,True,True,True,
pyyaml__safe_load_dump__001,True,True,True,True,True,True,True,True,
readme_renderer__content_type_core__hard3_001,True,True,True,True,True,True,True,True,
redis__resp_parser_core__001,True,True,True,True,True,True,True,True,
referencing__json_schema_refs_core__001,True,True,True,True,True,True,True,True,
requests_cache__cache_key_core__hard3_001,True,True,True,True,True,True,True,True,
responses__request_matcher_core__hard3_001,True,True,True,True,True,True,True,True,
returns__result_pipeline_core__hard3_001,True,True,True,True,True,True,True,True,
rfc3986__uri_parse_core__001,True,True,True,True,True,True,True,True,
rich__markup_parse_core__001,True,True,True,True,True,True,True,True,
ruamel_yaml__roundtrip_core__001,True,True,True,True,True,True,True,True,
schema__nested_validate_core__hard3_001,True,True,True,True,True,True,True,True,
scrapy__item_loader_core__hard3_001,True,True,True,True,True,True,True,True,
setuptools_scm__version_normalize_core__hard3_001,True,True,True,True,True,True,True,True,
sortedcontainers__sorted_list_core__001,True,True,True,True,True,True,True,True,
sphinx__extension_registry_core__hard3_001,True,True,True,True,True,True,True,True,
sqlalchemy__event_dispatch_core__hard3_001,True,True,True,True,True,True,True,True,
sqlparse__format_filters_core__001,True,True,True,True,True,True,True,True,
sqlparse__parse_format_core__001,True,True,True,True,True,True,True,True,
sqlparse__parse_split_core__001,True,True,True,True,True,True,True,True,
sqlparse__token_tree_core__001,True,True,True,True,True,True,True,True,
starlette__route_matching_core__hard3_001,True,True,True,True,True,True,True,True,
stevedore__extension_manager_core__hard3_001,True,True,True,True,True,True,True,True,
tabulate__table_format_core__001,True,True,True,True,True,True,True,True,
tenacity__retry_state_core__hard3_001,True,True,True,True,True,True,True,True,
tomlkit__roundtrip_document__001,True,True,True,True,True,True,True,True,
tox__factor_expression_core__hard3_001,True,True,True,True,True,True,True,True,
trafaret__validation_rules_core__hard3_001,True,True,True,True,True,True,True,True,
transitions__state_machine_core__hard3_001,True,True,True,True,True,True,True,True,
typer__command_parser_core__001,True,True,True,True,True,True,True,True,
urllib3__retry_backoff_core__001,True,True,True,True,True,True,True,True,
virtualenv__interpreter_spec_core__hard3_001,True,True,True,True,True,True,True,True,
voluptuous__schema_validate_core__001,True,True,True,True,True,True,True,True,
websockets__handshake_parse_core__001,True,True,True,True,True,True,True,True,
werkzeug__routing_core__001,True,True,True,True,True,True,True,True,
wheel__metadata_normalize_core__hard3_001,True,True,True,True,True,True,True,True,
wsproto__frame_parse_core__001,True,True,True,True,True,True,True,True,
xmltodict__xml_parse_core__001,True,True,True,True,True,True,True,True,
yamale__schema_validate_core__hard3_001,True,True,True,True,True,True,True,True,
yarl__url_model_core__001,True,True,True,True,True,True,True,True,
