task_id,model,arm,source,attempt,retained_run_json,run_json_sha256,selection_reason,old_functional_pass,new_attempt_functional_pass,retained_functional_pass,old_first_outcome,attempt01_first_outcome,retained_first_outcome,attempt01_delivered,attempt01_api_error_without_submission,unresolved_service_failure
dateutil__zone_resolver_core__hard3_001,deepseek-v4-pro,contract_only,original_unchanged_22,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/dateutil__zone_resolver_core__hard3_001/run.json,9ee9768546f6342e4e9898742a95c1c03934d1cb52a2abce7be1be1a60e7424a,not_in_timeout_empty_set,0,,0,Hidden,,Hidden,,,0
license_expression__policy_core__hard3_001,deepseek-v4-pro,contract_only,unresolved_keep_original,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/license_expression__policy_core__hard3_001/run.json,8d904b396272369b8549e7b9b30ffea8189c6ead440fcb943dae07da9e8689f2,unresolved_service_failure_timeout_empty,0,0,0,Missing,Missing,Missing,0,1,1
bleach__sanitize_core__001,deepseek-v4-pro,contract_only,recovery_attempt01,attempt-01,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-contract-recovery-20260915T103500Z/attempt-01/contract_only/bleach__sanitize_core__001/run.json,0e516e9a5097ffaad7fc2a9d06f8b3b20e8cb74a65bc82e850264dc5d441d975,recovery_attempt01_valid_outcome,0,0,0,Missing,Hidden,Hidden,1,0,0
environs__typed_env_core__001,deepseek-v4-pro,contract_only,original_unchanged_22,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/environs__typed_env_core__001/run.json,bbb478eba4eb25a39bda9f7aa891ccb6495b1feec4bff0d600bac6a028917849,not_in_timeout_empty_set,0,,0,Hidden,,Hidden,,,0
pytest__mark_expression_core__001,deepseek-v4-pro,contract_only,original_unchanged_22,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/pytest__mark_expression_core__001/run.json,528c2a83a26cd6e169f14ff16941313f7b4eac78872d6e579bf3140bb6ccb275,not_in_timeout_empty_set,1,,1,Pass,,Pass,,,0
bidict__bidirectional_map_core__001,deepseek-v4-pro,contract_only,original_unchanged_22,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/bidict__bidirectional_map_core__001/run.json,5e82f0be099f5465b3549d304763100a69ac8111707bf7c00d9ca2f752238645,not_in_timeout_empty_set,1,,1,Pass,,Pass,,,0
celery__signal_dispatch_core__hard3_001,deepseek-v4-pro,contract_only,original_unchanged_22,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/celery__signal_dispatch_core__hard3_001/run.json,0a42601439954104abc56afba274131b3482457a772732d3ab1cd4e9bd77b3a5,not_in_timeout_empty_set,0,,0,Public,,Public,,,0
schema__nested_validate_core__hard3_001,deepseek-v4-pro,contract_only,original_unchanged_22,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/schema__nested_validate_core__hard3_001/run.json,226b995bcbfa861f19c75527fdaebc5a68f96193000cddc3a8c830901341023e,not_in_timeout_empty_set,1,,1,Pass,,Pass,,,0
ruamel_yaml__roundtrip_core__001,deepseek-v4-pro,contract_only,original_unchanged_22,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/ruamel_yaml__roundtrip_core__001/run.json,d2d4a629b8aa2cd03cee67ac451d1aec210b8f001951276212dc7d4c32ec142b,not_in_timeout_empty_set,1,,1,Pass,,Pass,,,0
pluggy__hook_call_order__001,deepseek-v4-pro,contract_only,recovery_attempt01,attempt-01,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-contract-recovery-20260915T103500Z/attempt-01/contract_only/pluggy__hook_call_order__001/run.json,a193c5372a213ea81b4030bfbfa62929e2583a6db0d208eb238c2c16352937c6,recovery_attempt01_valid_outcome,0,1,1,Missing,Pass,Pass,1,0,0
httpx__request_model_core__001,deepseek-v4-pro,contract_only,original_unchanged_22,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/httpx__request_model_core__001/run.json,89ce079fd1ae69388ee2e1ab3d82f92335cba0bdc80507f23f2170ad10b983cf,not_in_timeout_empty_set,0,,0,Hidden,,Hidden,,,0
flake8__plugin_options_core__hard3_001,deepseek-v4-pro,contract_only,original_unchanged_22,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/flake8__plugin_options_core__hard3_001/run.json,28bec780d801ed16e8a3024440820803a0da00b61783a21930906d1db512ed10,not_in_timeout_empty_set,0,,0,Public,,Public,,,0
coverage__source_selection_core__001,deepseek-v4-pro,contract_only,unresolved_keep_original,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/coverage__source_selection_core__001/run.json,ec85379bba9f62a5688b3d07f0b6c24b562d5203e3818326025e10c49425f7ab,unresolved_service_failure_timeout_empty,0,0,0,Missing,Missing,Missing,0,1,1
jsonpointer__resolve_core__001,deepseek-v4-pro,contract_only,unresolved_keep_original,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/jsonpointer__resolve_core__001/run.json,b05f15d095fabd1ce58fa8977bf9022045ff03e3388c519dafbbdb49143fed40,unresolved_service_failure_timeout_empty,0,0,0,Missing,Missing,Missing,0,1,1
readme_renderer__content_type_core__hard3_001,deepseek-v4-pro,contract_only,original_unchanged_22,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/readme_renderer__content_type_core__hard3_001/run.json,fb402a702499440aae2938dff1c01620d45808c3efe7b4f48a147b39347921f7,not_in_timeout_empty_set,0,,0,Public,,Public,,,0
poetry_core__dependency_groups_core__hard3_001,deepseek-v4-pro,contract_only,original_unchanged_22,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/poetry_core__dependency_groups_core__hard3_001/run.json,3d4e9859b1d8f9c3031a81d584dd61ac5f79669060b0c0c0e37c6823ba123af1,not_in_timeout_empty_set,0,,0,Public,,Public,,,0
wsproto__frame_parse_core__001,deepseek-v4-pro,contract_only,recovery_attempt01,attempt-01,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-contract-recovery-20260915T103500Z/attempt-01/contract_only/wsproto__frame_parse_core__001/run.json,befc5754da9928709fbb0337e6e288c433390cee0e50599317ed4401ef999e89,recovery_attempt01_valid_outcome,0,0,0,Missing,Public,Public,1,0,0
markdown_it__commonmark_render__001,deepseek-v4-pro,contract_only,original_unchanged_22,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/markdown_it__commonmark_render__001/run.json,d94b0e78e8631fc61f306853661fbec78a33fc317de9434ea7b367f4adbdc77f,not_in_timeout_empty_set,0,,0,Public,,Public,,,0
sqlparse__token_tree_core__001,deepseek-v4-pro,contract_only,unresolved_keep_original,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/sqlparse__token_tree_core__001/run.json,6b4b27589858d3577e0878a19d9c5200fef8577d47df96fe300076e254e3e0f9,unresolved_service_failure_timeout_empty,0,0,0,Missing,Missing,Missing,0,1,1
