model,arm,task_id,repository,cohort,lift_type,functional_pass,delivered,first_outcome,run_status,last_conversation_error,service_error_recorded,conversation_error_codes,api_error_without_submission,max_steps,timeout_seconds,persisted_max_iterations,context_window_tokens,reserved_output_tokens,agent_network,eval_network,eval_capsule,agent_exit_status,record_path
deepseek-v4-pro,contract_only,pluggy__hook_wrapper_core__hard3_001,github__pytest_dev__pluggy,later,Adapted,0,0,Missing,missing_submission,LLMTimeoutError,1,LLMTimeoutError,1,120,3600,500,131072,8192,bridge,none,,passed,deepseek-v4-pro/source-ablation-40-r1/contract_only/pluggy__hook_wrapper_core__hard3_001/run.json
deepseek-v4-pro,contract_only,requests_cache__cache_key_core__hard3_001,github__requests_cache__requests_cache,later,Composite,0,0,Missing,missing_submission,LLMTimeoutError,1,LLMTimeoutError,1,120,3600,500,131072,8192,bridge,none,,passed,deepseek-v4-pro/source-ablation-40-r1/contract_only/requests_cache__cache_key_core__hard3_001/run.json
deepseek-v4-pro,contract_only,tomlkit__roundtrip_document__001,github__python_poetry__tomlkit,earlier,Direct,0,0,Missing,missing_submission,LLMTimeoutError,1,LLMTimeoutError,1,120,3600,500,131072,8192,bridge,none,,passed,deepseek-v4-pro/source-ablation-40-r1/contract_only/tomlkit__roundtrip_document__001/run.json
deepseek-v4-pro,contract_only,voluptuous__schema_validate_core__001,github__alecthomas__voluptuous,earlier,Direct,0,0,Missing,missing_submission,LLMTimeoutError,1,LLMTimeoutError,1,120,3600,500,131072,8192,bridge,none,,passed,deepseek-v4-pro/source-ablation-40-r1/contract_only/voluptuous__schema_validate_core__001/run.json
deepseek-v4-pro,contract_only,lark__parse_tree_core__001,github__lark_parser__lark,earlier,Direct,0,0,Missing,missing_submission,LLMTimeoutError,1,LLMTimeoutError,1,120,3600,500,131072,8192,bridge,none,,passed,deepseek-v4-pro/source-ablation-40-r1/contract_only/lark__parse_tree_core__001/run.json
deepseek-v4-pro,contract_only,platformdirs__app_dirs_core__hard3_001,github__tox_dev__platformdirs,later,Adapted,0,0,Missing,missing_submission,LLMTimeoutError,1,LLMTimeoutError,1,120,3600,500,131072,8192,bridge,none,,passed,deepseek-v4-pro/source-ablation-40-r1/contract_only/platformdirs__app_dirs_core__hard3_001/run.json
deepseek-v4-pro,contract_only,humanize__naturaltime_core__001,github__python_humanize__humanize,earlier,Direct,0,0,Missing,missing_submission,LLMTimeoutError,1,LLMTimeoutError,1,120,3600,500,131072,8192,bridge,none,,passed,deepseek-v4-pro/source-ablation-40-r1/contract_only/humanize__naturaltime_core__001/run.json
deepseek-v4-pro,contract_only,license_expression__policy_core__hard3_001,github__aboutcode_org__license_expression,later,Direct,0,0,Missing,missing_submission,LLMTimeoutError,1,LLMTimeoutError,1,120,3600,500,131072,8192,bridge,none,,passed,deepseek-v4-pro/source-ablation-40-r1/contract_only/license_expression__policy_core__hard3_001/run.json
deepseek-v4-pro,contract_only,bleach__sanitize_core__001,github__mozilla__bleach,earlier,Adapted,0,0,Missing,missing_submission,LLMTimeoutError,1,LLMTimeoutError,1,120,3600,500,131072,8192,bridge,none,,passed,deepseek-v4-pro/source-ablation-40-r1/contract_only/bleach__sanitize_core__001/run.json
deepseek-v4-pro,contract_only,pluggy__hook_call_order__001,github__pytest_dev__pluggy,earlier,Direct,0,0,Missing,missing_submission,LLMTimeoutError,1,LLMTimeoutError,1,120,3600,500,131072,8192,bridge,none,,passed,deepseek-v4-pro/source-ablation-40-r1/contract_only/pluggy__hook_call_order__001/run.json
deepseek-v4-pro,contract_only,coverage__source_selection_core__001,github__coveragepy__coveragepy,earlier,Adapted,0,0,Missing,missing_submission,LLMTimeoutError,1,LLMTimeoutError,1,120,3600,500,131072,8192,bridge,none,,passed,deepseek-v4-pro/source-ablation-40-r1/contract_only/coverage__source_selection_core__001/run.json
deepseek-v4-pro,contract_only,jsonpointer__resolve_core__001,github__stefankoegl__python_json_pointer,earlier,Direct,0,0,Missing,missing_submission,LLMTimeoutError,1,LLMTimeoutError,1,120,3600,500,131072,8192,bridge,none,,passed,deepseek-v4-pro/source-ablation-40-r1/contract_only/jsonpointer__resolve_core__001/run.json
deepseek-v4-pro,contract_only,wsproto__frame_parse_core__001,github__python_hyper__wsproto,earlier,Adapted,0,0,Missing,missing_submission,LLMTimeoutError,1,LLMTimeoutError,1,120,3600,500,131072,8192,bridge,none,,passed,deepseek-v4-pro/source-ablation-40-r1/contract_only/wsproto__frame_parse_core__001/run.json
deepseek-v4-pro,contract_only,sqlparse__token_tree_core__001,github__andialbrecht__sqlparse,earlier,Adapted,0,0,Missing,missing_submission,LLMTimeoutError,1,LLMTimeoutError,1,120,3600,500,131072,8192,bridge,none,,passed,deepseek-v4-pro/source-ablation-40-r1/contract_only/sqlparse__token_tree_core__001/run.json
