task_id,v2_label,in_fixed116,in_replace84,functional_pass,failure_stage,suite_split,lift_type,rres
diskcache__eviction_policy_core__hard3_001,violates,True,False,True,pass,python150,Composite,1.275
distlib__wheel_metadata_core__hard3_001,meets_standard,False,True,False,missing_submission,python150,Adapted,
dogpile_cache__region_backend_core__001,meets_standard,True,False,True,pass,hard50,Adapted,0.192785
dramatiq__actor_stub_broker_core__001,meets_standard,True,False,True,pass,hard50,Composite,0.150542
dulwich__config_parse_core__001,meets_standard,True,False,True,pass,hard50,Adapted,0.538985
dynaconf__settings_merge_core__001,meets_standard,True,False,False,missing_submission,python150,Adapted,
email_validator__validate_core__001,meets_standard,True,False,True,pass,python150,Direct,0.964809
environs__typed_env_core__001,meets_standard,True,False,True,pass,python150,Direct,0.988432
faker__provider_core__001,meets_standard,False,True,True,pass,python150,Direct,0.421739
falcon__responder_routing_core__001,meets_standard,False,True,True,pass,hard50,Direct,0.137109
filelock__reentrant_lock_core__001,meets_standard,True,False,True,pass,python150,Adapted,6.967742
flake8__plugin_options_core__hard3_001,meets_standard,True,False,False,public,python150,Composite,3.723684
flask__route_dispatch_core__001,meets_standard,False,True,False,public,python150,Adapted,17.833333
fs__url_opener_core__hard3_001,violates,False,True,False,missing_submission,python150,Adapted,
fsspec__url_chain_core__hard3_001,meets_standard,False,True,False,missing_submission,python150,Adapted,
glom__spec_eval_core__hard3_001,meets_standard,False,True,True,pass,python150,Adapted,25.27451
goodconf__typed_env_core__001,meets_standard,False,True,False,build,hard50,Adapted,0.658754
graphene__schema_execute_core__001,meets_standard,False,True,True,pass,hard50,Composite,0.481152
h11__message_parse_core__001,meets_standard,True,False,True,pass,python150,Direct,1.000681
h2__frame_parse_core__001,meets_standard,True,False,True,pass,python150,Adapted,0.924783
hatch__project_metadata_core__hard3_001,violates,False,True,False,public,python150,Adapted,10.084337
httpretty__uri_stub_core__001,meets_standard,True,False,True,pass,hard50,Direct,0.249504
httpx__request_model_core__001,meets_standard,True,False,True,pass,python150,Adapted,1.043928
humanize__naturaltime_core__001,meets_standard,False,True,True,pass,python150,Direct,0.417459
hydra_core__compose_initialize_core__001,meets_standard,False,True,False,public,hard50,Composite,0.391476
importlib_metadata__entry_points_core__001,violates,True,False,True,pass,python150,Direct,0.160272
importlib_resources__traversable_tree_core__hard3_001,meets_standard,False,True,False,public,python150,Composite,1.607362
installer__wheel_record_core__hard3_001,violates,True,False,False,hidden,python150,Adapted,2.757576
intervaltree__interval_tree_core__001,violates,True,False,True,pass,python150,Direct,1.002287
isodate__duration_parse_core__001,meets_standard,True,False,True,pass,python150,Adapted,0.674835
isort__settings_resolver_core__hard3_001,meets_standard,False,True,True,pass,python150,Adapted,2.106618
itsdangerous__timed_serializer_core__001,meets_standard,True,False,True,pass,python150,Adapted,13.974359
jinja2__compile_render_core__001,meets_standard,False,True,True,pass,python150,Adapted,0.971665
jinja2__extensions_core__001,meets_standard,True,False,True,pass,python150,Adapted,1.055694
jinja2__filters_tests_core__001,meets_standard,True,False,True,pass,python150,Adapted,1.249328
jinja2__lexer_parser_core__001,meets_standard,False,True,True,pass,python150,Adapted,0.915259
jinja2__loader_inheritance_core__001,meets_standard,True,False,True,pass,python150,Adapted,1.024992
json5__parse_core__001,meets_standard,True,False,True,pass,python150,Direct,1.063047
json_logic__evaluator_core__hard3_001,meets_standard,True,False,True,pass,python150,Direct,1.29078
jsonpath_ng__expression_eval_core__001,meets_standard,True,False,True,pass,python150,Direct,2.915552
jsonpointer__resolve_core__001,violates,True,False,True,pass,python150,Direct,0.764444
jsonschema__validator_core__001,meets_standard,False,True,True,pass,python150,Direct,0.620719
jupyter_core__paths_resolver_core__hard3_001,meets_standard,False,True,False,public,python150,Adapted,1.65493
jupyter_server__extension_config_core__hard3_001,meets_standard,False,True,False,missing_submission,python150,Composite,
keyring__backend_select_core__hard3_001,meets_standard,True,False,False,public,python150,Composite,2.019108
lark__grammar_loader_core__001,meets_standard,True,False,True,pass,python150,Direct,1.0
lark__parse_tree_core__001,meets_standard,False,True,True,pass,python150,Direct,1.021574
lark__visitor_transform_core__001,meets_standard,True,False,True,pass,python150,Adapted,0.991964
license_expression__policy_core__hard3_001,meets_standard,False,True,False,missing_submission,python150,Direct,
limits__strategy_storage_core__001,meets_standard,False,True,False,build,hard50,Adapted,0.197023
luigi__task_requires_core__001,meets_standard,False,True,False,build,hard50,Composite,0.008552
mako__lexer_expression_core__001,meets_standard,True,False,True,pass,python150,Direct,0.737599
markdown__extensions_core__001,meets_standard,True,False,True,pass,python150,Adapted,1.072274
markdown_it__commonmark_render__001,meets_standard,True,False,True,pass,python150,Direct,1.0
marshmallow__schema_core__001,meets_standard,True,False,True,pass,python150,Direct,0.997459
mashumaro__dataclass_codec_core__001,meets_standard,True,False,True,pass,hard50,Adapted,0.691577
mimesis__person_address_core__001,meets_standard,True,False,True,pass,hard50,Direct,0.696503
mistune__markdown_plugin_core__001,meets_standard,True,False,True,pass,hard50,Adapted,0.948192
mitmproxy__url_parse_core__001,meets_standard,True,False,True,pass,hard50,Direct,0.251781
mkdocs__plugin_config_core__hard3_001,meets_standard,True,False,False,public,python150,Composite,3.0
msgpack__pack_unpack_core__001,meets_standard,True,False,True,pass,python150,Adapted,0.991168
multidict__multidict_mutation_core__hard3_001,violates,False,True,False,public,python150,Direct,4.543624
networkx__dag_topo_core__001,meets_standard,False,True,True,pass,python150,Direct,0.155261
oauthlib__grant_dispatch_core__001,meets_standard,False,True,True,pass,hard50,Adapted,0.189072
openapi_schema_validator__draft_core__001,meets_standard,False,True,False,build,hard50,Direct,0.767802
oslo_config__opt_group_core__001,violates,False,True,False,build,hard50,Composite,0.699969
oslo_policy__enforcer_core__001,meets_standard,False,True,False,build,hard50,Composite,0.710359
packaging__requirement_marker_specifier__001,violates,True,False,True,pass,python150,Direct,0.58019
pandera__dataframe_schema_core__001,meets_standard,False,True,False,build,hard50,Composite,0.048007
parse__format_parser_core__001,meets_standard,True,False,True,pass,python150,Direct,9.133333
parsel__selector_namespace_core__hard3_001,meets_standard,False,True,False,public,python150,Adapted,19.705882
parso__python_parse_core__001,meets_standard,True,False,True,pass,python150,Direct,1.006434
passlib__hash_context_core__001,meets_standard,True,False,True,pass,python150,Direct,1.882546
paste__dispatch_map_core__001,meets_standard,True,False,False,public,hard50,Adapted,0.005993
pathvalidate__sanitize_core__001,meets_standard,True,False,True,pass,python150,Direct,0.861842
pendulum__parse_format_core__001,meets_standard,False,True,True,pass,python150,Adapted,0.802653
phonenumbers__parse_format_core__001,meets_standard,True,False,True,pass,python150,Direct,1.140064
pika__channel_spec_core__001,meets_standard,True,False,True,pass,hard50,Direct,0.979909
platformdirs__app_dirs_core__hard3_001,meets_standard,True,False,True,pass,python150,Adapted,1.135338
pluggy__hook_call_order__001,meets_standard,True,False,True,pass,python150,Direct,0.992997
pluggy__hook_specs_core__001,meets_standard,True,False,True,pass,python150,Direct,0.943978
pluggy__hook_wrapper_core__hard3_001,meets_standard,True,False,False,public,python150,Adapted,2.813131
poetry_core__dependency_groups_core__hard3_001,meets_standard,False,True,False,missing_submission,python150,Composite,
polyfactory__model_factory_core__001,meets_standard,False,True,True,pass,hard50,Adapted,0.633854
pre_commit__config_load_core__001,meets_standard,False,True,True,pass,hard50,Adapted,0.139435
pydantic__field_validator_core__hard3_001,meets_standard,False,True,False,missing_submission,python150,Adapted,
pydantic_settings__env_source_core__001,meets_standard,False,True,True,pass,python150,Adapted,0.861684
pydantic_v1__validation_error_core__001,meets_standard,False,True,False,missing_submission,python150,Adapted,
pygments__formatter_core__001,meets_standard,False,True,True,pass,python150,Direct,1.364193
pygments__lexer_core__001,meets_standard,False,True,False,hidden,python150,Direct,0.804445
pylint__config_find_core__001,meets_standard,False,True,False,public,hard50,Adapted,0.03284
pyramid__configurator_action_core__hard3_001,meets_standard,False,True,False,missing_submission,python150,Composite,
pytest__fixture_resolve_core__001,meets_standard,True,False,True,pass,python150,Composite,2.385827
pytest__ini_markers_core__001,meets_standard,True,False,False,public,python150,Composite,4.441176
pytest__mark_expression_core__001,meets_standard,True,False,True,pass,python150,Adapted,1.007519
pytest__marker_registry_core__hard3_001,meets_standard,True,False,False,hidden,python150,Composite,1.921875
pytest__skipif_eval_core__001,meets_standard,True,False,True,pass,python150,Composite,1.580247
python_box__config_box_core__001,meets_standard,False,True,True,pass,python150,Direct,0.960956
python_configuration__layered_config_core__001,violates,True,False,True,pass,hard50,Adapted,0.437618
python_dateutil__relativedelta_core__001,meets_standard,True,False,True,pass,python150,Direct,0.973404
python_dateutil__rrule_core__001,meets_standard,True,False,True,pass,python150,Direct,1.04164
python_decouple__config_repository_core__001,meets_standard,True,False,False,hidden,python150,Adapted,3.318182
python_dotenv__env_parse_core__001,meets_standard,True,False,True,pass,python150,Direct,0.804878
python_frontmatter__roundtrip_core__001,violates,True,False,True,pass,python150,Direct,0.641473
python_multipart__form_parse_core__001,meets_standard,False,True,True,pass,python150,Direct,0.988506
pyyaml__safe_load_dump__001,meets_standard,True,False,True,pass,python150,Adapted,0.871685
quart__blueprint_dispatch_core__001,meets_standard,False,True,False,build,hard50,Adapted,0.24308
readme_renderer__content_type_core__hard3_001,violates,True,False,False,public,python150,Adapted,8.416667
redbaron__fst_mutate_core__001,meets_standard,True,False,True,pass,hard50,Adapted,0.111238
redis__resp_parser_core__001,meets_standard,True,False,True,pass,python150,Adapted,0.829238
referencing__json_schema_refs_core__001,meets_standard,True,False,True,pass,python150,Adapted,0.980998
requests_cache__cache_key_core__hard3_001,meets_standard,False,True,False,missing_submission,python150,Composite,
responses__request_matcher_core__hard3_001,meets_standard,True,False,False,hidden,python150,Composite,3.87013
returns__result_pipeline_core__hard3_001,meets_standard,True,False,True,pass,python150,Adapted,2.596154
rfc3986__uri_parse_core__001,meets_standard,True,False,True,pass,python150,Adapted,0.626061
rich__markup_parse_core__001,meets_standard,False,True,True,pass,python150,Adapted,0.310409
rocketry__cond_schedule_core__001,meets_standard,False,True,False,build,hard50,Direct,0.095058
routes__mapper_match_core__001,meets_standard,True,False,True,pass,hard50,Adapted,0.936452
ruamel_yaml__roundtrip_core__001,meets_standard,False,True,True,pass,python150,Adapted,1.004734
schema__nested_validate_core__hard3_001,meets_standard,False,True,False,missing_submission,python150,Adapted,
scrapy__item_loader_core__hard3_001,meets_standard,False,True,False,public,python150,Adapted,6.578947
setuptools_scm__version_normalize_core__hard3_001,violates,False,True,False,missing_submission,python150,Adapted,
sortedcontainers__sorted_list_core__001,violates,True,False,True,pass,python150,Direct,0.934818
sphinx__extension_registry_core__hard3_001,meets_standard,True,False,True,pass,python150,Composite,5.5
spiffworkflow__bpmn_engine_core__001,violates,False,True,False,build,hard50,Composite,0.071957
sqlalchemy__event_dispatch_core__hard3_001,meets_standard,False,True,True,pass,python150,Adapted,3.080645
sqlparse__format_filters_core__001,meets_standard,True,False,True,pass,python150,Direct,1.00519
sqlparse__parse_format_core__001,meets_standard,True,False,True,pass,python150,Adapted,1.008953
sqlparse__parse_split_core__001,meets_standard,True,False,True,pass,python150,Adapted,0.962947
sqlparse__token_tree_core__001,meets_standard,True,False,True,pass,python150,Adapted,0.954465
starlette__route_matching_core__hard3_001,meets_standard,False,True,False,missing_submission,python150,Adapted,
stdnum__isbn_validate_core__001,meets_standard,True,False,True,pass,hard50,Adapted,0.481422
stevedore__extension_manager_core__hard3_001,violates,True,False,True,pass,python150,Composite,2.281385
tabulate__table_format_core__001,meets_standard,True,False,True,pass,python150,Direct,1.003029
taskiq__broker_task_core__001,meets_standard,False,True,False,build,hard50,Composite,0.174238
tenacity__retry_state_core__hard3_001,meets_standard,False,True,False,missing_submission,python150,Adapted,
tomlkit__roundtrip_document__001,meets_standard,True,False,True,pass,python150,Direct,1.0
tornado__http_headers_core__001,meets_standard,True,False,True,pass,hard50,Adapted,0.109709
tox__factor_expression_core__hard3_001,meets_standard,True,False,False,public,python150,Adapted,2.886076
trafaret__validation_rules_core__hard3_001,meets_standard,False,True,False,missing_submission,python150,Adapted,
transitions__state_machine_core__hard3_001,meets_standard,False,True,True,pass,python150,Adapted,7.672
typedload__type_load_core__001,meets_standard,True,False,True,pass,hard50,Direct,0.736582
typer__command_parser_core__001,meets_standard,False,True,False,public,python150,Direct,0.385053
urllib3__retry_backoff_core__001,meets_standard,True,False,True,pass,python150,Direct,1.010802
virtualenv__interpreter_spec_core__hard3_001,violates,False,True,False,missing_submission,python150,Adapted,
voluptuous__schema_validate_core__001,meets_standard,True,False,True,pass,python150,Direct,0.863914
webob__request_response_core__001,violates,False,True,True,pass,hard50,Direct,0.286063
websockets__handshake_parse_core__001,violates,True,False,True,pass,python150,Adapted,1.210484
werkzeug__routing_core__001,meets_standard,True,False,True,pass,python150,Adapted,0.405339
wheel__metadata_normalize_core__hard3_001,meets_standard,False,True,False,missing_submission,python150,Adapted,
wsproto__frame_parse_core__001,meets_standard,True,False,True,pass,python150,Adapted,0.742068
xmltodict__xml_parse_core__001,meets_standard,True,False,True,pass,python150,Direct,0.581272
yamale__schema_validate_core__hard3_001,meets_standard,True,False,False,public,python150,Adapted,5.054054
yarl__url_model_core__001,meets_standard,True,False,True,pass,python150,Adapted,0.99557
zope_component__site_lookup_core__001,meets_standard,False,True,False,build,hard50,Composite,0.484632
zope_interface__adapter_registry_core__001,meets_standard,False,True,False,hidden,hard50,Composite,0.596003
