task_id,construction,hard3,lift_type,feature_family,pass_Pro,stage_Pro,pass_Flash,stage_Flash,pass_Luna,stage_Luna,pass_GLM,stage_GLM,pass_Qwen,stage_Qwen,pass_OSS,stage_OSS,num_models_solved,n_models,solved_over_n,difficulty_level
diskcache__eviction_policy_core__hard3_001,hard3,True,Composite,cache_retry_policy,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,6,6,6/6,solved_by_all
distlib__wheel_metadata_core__hard3_001,hard3,True,Adapted,resource_metadata_loading,1,functional_pass,1,functional_pass,1,functional_pass,0,hidden_failure,1,functional_pass,1,functional_pass,5,6,5/6,easy
dynaconf__settings_merge_core__001,core100,False,Adapted,config_resolve_discover,1,functional_pass,1,functional_pass,1,functional_pass,0,missing_submission,0,public_failure,0,public_failure,3,6,3/6,mixed
email_validator__validate_core__001,core100,False,Direct,parse_tokenize_decode,1,functional_pass,1,functional_pass,0,public_failure,1,functional_pass,1,functional_pass,0,isolation_failure,4,6,4/6,mixed
environs__typed_env_core__001,core100,False,Direct,config_resolve_discover,1,functional_pass,1,functional_pass,1,functional_pass,0,missing_submission,1,functional_pass,1,functional_pass,5,6,5/6,easy
faker__provider_core__001,core100,False,Direct,resource_metadata_loading,1,functional_pass,1,functional_pass,1,functional_pass,0,isolation_failure,0,public_failure,0,public_failure,3,6,3/6,mixed
filelock__reentrant_lock_core__001,core100,False,Adapted,workflow_session_orchestration,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,missing_submission,0,public_failure,0,6,0/6,unsolved
flake8__plugin_options_core__hard3_001,hard3,True,Composite,registry_plugin_dispatch,0,public_failure,0,public_failure,0,public_failure,0,missing_submission,0,public_failure,0,public_failure,0,6,0/6,unsolved
flask__route_dispatch_core__001,core100,False,Adapted,registry_plugin_dispatch,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,build_failure,0,6,0/6,unsolved
fs__url_opener_core__hard3_001,hard3,True,Adapted,registry_plugin_dispatch,1,functional_pass,1,functional_pass,0,public_failure,0,public_failure,0,public_failure,0,public_failure,2,6,2/6,hard_tail
fsspec__url_chain_core__hard3_001,hard3,True,Adapted,config_resolve_discover,1,functional_pass,1,functional_pass,1,functional_pass,0,public_failure,0,hidden_failure,0,public_failure,3,6,3/6,mixed
glom__spec_eval_core__hard3_001,hard3,True,Adapted,algorithm_data_structure,1,functional_pass,0,hidden_failure,1,functional_pass,0,missing_submission,0,hidden_failure,0,public_failure,2,6,2/6,hard_tail
h11__message_parse_core__001,core100,False,Direct,protocol_state_transition,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,6,6,6/6,solved_by_all
h2__frame_parse_core__001,core100,False,Adapted,protocol_state_transition,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,0,hidden_failure,5,6,5/6,easy
hatch__project_metadata_core__hard3_001,hard3,True,Adapted,resource_metadata_loading,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,missing_submission,0,6,0/6,unsolved
httpx__request_model_core__001,core100,False,Adapted,validate_normalize_construct,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,0,missing_submission,0,public_failure,4,6,4/6,mixed
humanize__naturaltime_core__001,core100,False,Direct,serialize_format_render,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,6,6,6/6,solved_by_all
importlib_metadata__entry_points_core__001,core100,False,Direct,resource_metadata_loading,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,0,missing_submission,0,public_failure,4,6,4/6,mixed
importlib_resources__traversable_tree_core__hard3_001,hard3,True,Composite,resource_metadata_loading,1,functional_pass,1,functional_pass,0,hidden_failure,0,build_failure,0,hidden_failure,0,hidden_failure,2,6,2/6,hard_tail
installer__wheel_record_core__hard3_001,hard3,True,Adapted,resource_metadata_loading,1,functional_pass,0,hidden_failure,0,hidden_failure,0,hidden_failure,0,hidden_failure,0,hidden_failure,1,6,1/6,hard_tail
intervaltree__interval_tree_core__001,core100,False,Direct,algorithm_data_structure,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,0,missing_submission,0,public_failure,4,6,4/6,mixed
isodate__duration_parse_core__001,core100,False,Adapted,parse_tokenize_decode,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,6,6,6/6,solved_by_all
isort__settings_resolver_core__hard3_001,hard3,True,Adapted,config_resolve_discover,1,functional_pass,1,functional_pass,1,functional_pass,0,missing_submission,0,missing_submission,0,public_failure,3,6,3/6,mixed
itsdangerous__timed_serializer_core__001,core100,False,Adapted,serialize_format_render,1,functional_pass,1,functional_pass,1,functional_pass,0,public_failure,0,hidden_failure,1,functional_pass,4,6,4/6,mixed
jinja2__compile_render_core__001,core100,False,Adapted,serialize_format_render,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,6,6,6/6,solved_by_all
jinja2__extensions_core__001,core100,False,Adapted,registry_plugin_dispatch,1,functional_pass,1,functional_pass,0,public_failure,1,functional_pass,1,functional_pass,0,build_failure,4,6,4/6,mixed
jinja2__filters_tests_core__001,core100,False,Adapted,serialize_format_render,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,0,public_failure,5,6,5/6,easy
jinja2__lexer_parser_core__001,core100,False,Adapted,parse_tokenize_decode,1,functional_pass,1,functional_pass,1,functional_pass,0,public_failure,0,public_failure,0,public_failure,3,6,3/6,mixed
jinja2__loader_inheritance_core__001,core100,False,Adapted,resource_metadata_loading,1,functional_pass,1,functional_pass,1,functional_pass,0,missing_submission,1,functional_pass,1,functional_pass,5,6,5/6,easy
json5__parse_core__001,core100,False,Direct,parse_tokenize_decode,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,0,public_failure,5,6,5/6,easy
json_logic__evaluator_core__hard3_001,hard3,True,Direct,cache_retry_policy,0,hidden_failure,1,functional_pass,1,functional_pass,0,hidden_failure,0,hidden_failure,1,functional_pass,3,6,3/6,mixed
jsonpath_ng__expression_eval_core__001,core100,False,Direct,parse_tokenize_decode,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,0,missing_submission,0,build_failure,4,6,4/6,mixed
jsonpointer__resolve_core__001,core100,False,Direct,parse_tokenize_decode,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,6,6,6/6,solved_by_all
jsonschema__validator_core__001,core100,False,Direct,validate_normalize_construct,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,0,missing_submission,1,functional_pass,5,6,5/6,easy
jupyter_core__paths_resolver_core__hard3_001,hard3,True,Adapted,config_resolve_discover,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,6,0/6,unsolved
jupyter_server__extension_config_core__hard3_001,hard3,True,Composite,registry_plugin_dispatch,1,functional_pass,0,hidden_failure,0,hidden_failure,1,functional_pass,0,hidden_failure,0,public_failure,2,6,2/6,hard_tail
keyring__backend_select_core__hard3_001,hard3,True,Composite,registry_plugin_dispatch,0,public_failure,0,public_failure,0,hidden_failure,0,public_failure,0,missing_submission,0,public_failure,0,6,0/6,unsolved
lark__grammar_loader_core__001,core100,False,Direct,resource_metadata_loading,1,functional_pass,1,functional_pass,1,functional_pass,0,isolation_failure,1,functional_pass,0,build_failure,4,6,4/6,mixed
lark__parse_tree_core__001,core100,False,Direct,parse_tokenize_decode,1,functional_pass,1,functional_pass,0,build_failure,1,functional_pass,0,build_failure,0,build_failure,3,6,3/6,mixed
lark__visitor_transform_core__001,core100,False,Adapted,algorithm_data_structure,1,functional_pass,1,functional_pass,1,functional_pass,0,public_failure,1,functional_pass,0,public_failure,4,6,4/6,mixed
license_expression__policy_core__hard3_001,hard3,True,Direct,parse_tokenize_decode,0,hidden_failure,0,hidden_failure,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,6,0/6,unsolved
mako__lexer_expression_core__001,core100,False,Direct,parse_tokenize_decode,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,0,public_failure,0,build_failure,4,6,4/6,mixed
markdown__extensions_core__001,core100,False,Adapted,parse_tokenize_decode,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,0,build_failure,5,6,5/6,easy
markdown_it__commonmark_render__001,core100,False,Direct,parse_tokenize_decode,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,6,6,6/6,solved_by_all
marshmallow__schema_core__001,core100,False,Direct,serialize_format_render,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,0,missing_submission,0,public_failure,4,6,4/6,mixed
mkdocs__plugin_config_core__hard3_001,hard3,True,Composite,registry_plugin_dispatch,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,6,0/6,unsolved
msgpack__pack_unpack_core__001,core100,False,Adapted,serialize_format_render,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,0,missing_submission,0,build_failure,4,6,4/6,mixed
multidict__multidict_mutation_core__hard3_001,hard3,True,Direct,algorithm_data_structure,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,6,0/6,unsolved
networkx__dag_topo_core__001,core100,False,Direct,algorithm_data_structure,1,functional_pass,1,functional_pass,1,functional_pass,0,missing_submission,1,functional_pass,0,public_failure,4,6,4/6,mixed
packaging__requirement_marker_specifier__001,core100,False,Direct,parse_tokenize_decode,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,0,build_failure,5,6,5/6,easy
parse__format_parser_core__001,core100,False,Direct,parse_tokenize_decode,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,0,public_failure,5,6,5/6,easy
parsel__selector_namespace_core__hard3_001,hard3,True,Adapted,parse_tokenize_decode,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,missing_submission,0,public_failure,0,6,0/6,unsolved
parso__python_parse_core__001,core100,False,Direct,parse_tokenize_decode,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,0,public_failure,5,6,5/6,easy
passlib__hash_context_core__001,core100,False,Direct,validate_normalize_construct,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,0,hidden_failure,0,hidden_failure,4,6,4/6,mixed
pathvalidate__sanitize_core__001,core100,False,Direct,validate_normalize_construct,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,0,missing_submission,0,hidden_failure,4,6,4/6,mixed
pendulum__parse_format_core__001,core100,False,Adapted,parse_tokenize_decode,1,functional_pass,0,public_failure,1,functional_pass,1,functional_pass,0,public_failure,0,public_failure,3,6,3/6,mixed
phonenumbers__parse_format_core__001,core100,False,Direct,parse_tokenize_decode,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,0,hidden_failure,5,6,5/6,easy
platformdirs__app_dirs_core__hard3_001,hard3,True,Adapted,config_resolve_discover,0,public_failure,0,public_failure,1,functional_pass,0,public_failure,0,missing_submission,0,public_failure,1,6,1/6,hard_tail
pluggy__hook_call_order__001,core100,False,Direct,registry_plugin_dispatch,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,6,6,6/6,solved_by_all
pluggy__hook_specs_core__001,core100,False,Direct,registry_plugin_dispatch,1,functional_pass,1,functional_pass,0,missing_submission,1,functional_pass,1,functional_pass,0,hidden_failure,4,6,4/6,mixed
pluggy__hook_wrapper_core__hard3_001,hard3,True,Adapted,registry_plugin_dispatch,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,missing_submission,0,public_failure,0,6,0/6,unsolved
poetry_core__dependency_groups_core__hard3_001,hard3,True,Composite,resource_metadata_loading,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,6,0/6,unsolved
pydantic__field_validator_core__hard3_001,hard3,True,Adapted,validate_normalize_construct,1,functional_pass,0,hidden_failure,1,functional_pass,0,missing_submission,1,functional_pass,0,public_failure,3,6,3/6,mixed
pydantic_settings__env_source_core__001,core100,False,Adapted,config_resolve_discover,1,functional_pass,1,functional_pass,1,functional_pass,0,build_failure,1,functional_pass,0,public_failure,4,6,4/6,mixed
pydantic_v1__validation_error_core__001,core100,False,Adapted,validate_normalize_construct,1,functional_pass,1,functional_pass,1,functional_pass,0,missing_submission,0,missing_submission,0,public_failure,3,6,3/6,mixed
pygments__formatter_core__001,core100,False,Direct,serialize_format_render,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,0,public_failure,1,functional_pass,5,6,5/6,easy
pygments__lexer_core__001,core100,False,Direct,parse_tokenize_decode,0,hidden_failure,0,hidden_failure,0,build_failure,0,hidden_failure,0,missing_submission,0,public_failure,0,6,0/6,unsolved
pyramid__configurator_action_core__hard3_001,hard3,True,Composite,workflow_session_orchestration,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,6,6,6/6,solved_by_all
pytest__fixture_resolve_core__001,core100,False,Composite,registry_plugin_dispatch,1,functional_pass,1,functional_pass,1,functional_pass,0,public_failure,1,functional_pass,0,public_failure,4,6,4/6,mixed
pytest__ini_markers_core__001,core100,False,Composite,config_resolve_discover,0,public_failure,0,public_failure,0,public_failure,0,missing_submission,0,hidden_failure,0,public_failure,0,6,0/6,unsolved
pytest__mark_expression_core__001,core100,False,Adapted,parse_tokenize_decode,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,6,6,6/6,solved_by_all
pytest__marker_registry_core__hard3_001,hard3,True,Composite,registry_plugin_dispatch,0,hidden_failure,0,hidden_failure,0,hidden_failure,0,hidden_failure,0,hidden_failure,0,hidden_failure,0,6,0/6,unsolved
pytest__skipif_eval_core__001,core100,False,Composite,cache_retry_policy,1,functional_pass,1,functional_pass,1,functional_pass,0,hidden_failure,1,functional_pass,1,functional_pass,5,6,5/6,easy
python_box__config_box_core__001,core100,False,Direct,config_resolve_discover,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,0,hidden_failure,5,6,5/6,easy
python_dateutil__relativedelta_core__001,core100,False,Direct,algorithm_data_structure,1,functional_pass,0,public_failure,1,functional_pass,1,functional_pass,1,functional_pass,0,hidden_failure,4,6,4/6,mixed
python_dateutil__rrule_core__001,core100,False,Direct,protocol_state_transition,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,0,public_failure,5,6,5/6,easy
python_decouple__config_repository_core__001,core100,False,Adapted,config_resolve_discover,0,hidden_failure,0,hidden_failure,0,hidden_failure,0,hidden_failure,0,hidden_failure,0,hidden_failure,0,6,0/6,unsolved
python_dotenv__env_parse_core__001,core100,False,Direct,config_resolve_discover,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,6,6,6/6,solved_by_all
python_frontmatter__roundtrip_core__001,core100,False,Direct,serialize_format_render,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,6,6,6/6,solved_by_all
python_multipart__form_parse_core__001,core100,False,Direct,parse_tokenize_decode,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,6,6,6/6,solved_by_all
pyyaml__safe_load_dump__001,core100,False,Adapted,serialize_format_render,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,0,build_failure,5,6,5/6,easy
readme_renderer__content_type_core__hard3_001,hard3,True,Adapted,serialize_format_render,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,build_failure,0,build_failure,0,6,0/6,unsolved
redis__resp_parser_core__001,core100,False,Adapted,protocol_state_transition,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,0,public_failure,5,6,5/6,easy
referencing__json_schema_refs_core__001,core100,False,Adapted,config_resolve_discover,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,0,public_failure,5,6,5/6,easy
requests_cache__cache_key_core__hard3_001,hard3,True,Composite,cache_retry_policy,0,hidden_failure,0,hidden_failure,0,hidden_failure,0,public_failure,0,hidden_failure,0,public_failure,0,6,0/6,unsolved
responses__request_matcher_core__hard3_001,hard3,True,Composite,registry_plugin_dispatch,0,hidden_failure,0,hidden_failure,1,functional_pass,0,hidden_failure,0,hidden_failure,0,public_failure,1,6,1/6,hard_tail
returns__result_pipeline_core__hard3_001,hard3,True,Adapted,workflow_session_orchestration,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,0,hidden_failure,1,functional_pass,5,6,5/6,easy
rfc3986__uri_parse_core__001,core100,False,Adapted,parse_tokenize_decode,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,6,6,6/6,solved_by_all
rich__markup_parse_core__001,core100,False,Adapted,parse_tokenize_decode,1,functional_pass,1,functional_pass,0,missing_submission,0,missing_submission,1,functional_pass,0,build_failure,3,6,3/6,mixed
ruamel_yaml__roundtrip_core__001,core100,False,Adapted,serialize_format_render,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,0,public_failure,5,6,5/6,easy
schema__nested_validate_core__hard3_001,hard3,True,Adapted,validate_normalize_construct,0,hidden_failure,1,functional_pass,1,functional_pass,1,functional_pass,0,hidden_failure,1,functional_pass,4,6,4/6,mixed
scrapy__item_loader_core__hard3_001,hard3,True,Adapted,registry_plugin_dispatch,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,6,0/6,unsolved
setuptools_scm__version_normalize_core__hard3_001,hard3,True,Adapted,resource_metadata_loading,0,public_failure,0,public_failure,0,public_failure,0,missing_submission,0,public_failure,0,public_failure,0,6,0/6,unsolved
sortedcontainers__sorted_list_core__001,core100,False,Direct,algorithm_data_structure,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,0,hidden_failure,0,public_failure,4,6,4/6,mixed
sphinx__extension_registry_core__hard3_001,hard3,True,Composite,registry_plugin_dispatch,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,0,public_failure,1,functional_pass,5,6,5/6,easy
sqlalchemy__event_dispatch_core__hard3_001,hard3,True,Adapted,registry_plugin_dispatch,1,functional_pass,1,functional_pass,1,functional_pass,0,missing_submission,1,functional_pass,1,functional_pass,5,6,5/6,easy
sqlparse__format_filters_core__001,core100,False,Direct,serialize_format_render,1,functional_pass,1,functional_pass,0,hidden_failure,1,functional_pass,1,functional_pass,0,public_failure,4,6,4/6,mixed
sqlparse__parse_format_core__001,core100,False,Adapted,parse_tokenize_decode,1,functional_pass,1,functional_pass,1,functional_pass,0,missing_submission,0,build_failure,0,build_failure,3,6,3/6,mixed
sqlparse__parse_split_core__001,core100,False,Adapted,parse_tokenize_decode,1,functional_pass,1,functional_pass,1,functional_pass,0,missing_submission,1,functional_pass,0,public_failure,4,6,4/6,mixed
sqlparse__token_tree_core__001,core100,False,Adapted,parse_tokenize_decode,1,functional_pass,1,functional_pass,1,functional_pass,0,missing_submission,0,missing_submission,0,build_failure,3,6,3/6,mixed
starlette__route_matching_core__hard3_001,hard3,True,Adapted,registry_plugin_dispatch,0,hidden_failure,0,hidden_failure,0,hidden_failure,0,missing_submission,0,hidden_failure,0,public_failure,0,6,0/6,unsolved
stevedore__extension_manager_core__hard3_001,hard3,True,Composite,registry_plugin_dispatch,1,functional_pass,1,functional_pass,1,functional_pass,0,missing_submission,1,functional_pass,0,public_failure,4,6,4/6,mixed
tabulate__table_format_core__001,core100,False,Direct,serialize_format_render,1,functional_pass,1,functional_pass,1,functional_pass,0,missing_submission,0,public_failure,0,build_failure,3,6,3/6,mixed
tenacity__retry_state_core__hard3_001,hard3,True,Adapted,cache_retry_policy,1,functional_pass,0,hidden_failure,1,functional_pass,0,missing_submission,0,missing_submission,0,missing_submission,2,6,2/6,hard_tail
tomlkit__roundtrip_document__001,core100,False,Direct,serialize_format_render,1,functional_pass,1,functional_pass,1,functional_pass,0,missing_submission,1,functional_pass,1,functional_pass,5,6,5/6,easy
tox__factor_expression_core__hard3_001,hard3,True,Adapted,parse_tokenize_decode,0,public_failure,0,public_failure,0,public_failure,0,missing_submission,0,missing_submission,1,functional_pass,1,6,1/6,hard_tail
trafaret__validation_rules_core__hard3_001,hard3,True,Adapted,validate_normalize_construct,1,functional_pass,1,functional_pass,1,functional_pass,0,missing_submission,0,missing_submission,1,functional_pass,4,6,4/6,mixed
transitions__state_machine_core__hard3_001,hard3,True,Adapted,protocol_state_transition,1,functional_pass,1,functional_pass,1,functional_pass,0,missing_submission,1,functional_pass,0,hidden_failure,4,6,4/6,mixed
typer__command_parser_core__001,core100,False,Direct,workflow_session_orchestration,1,functional_pass,0,isolation_failure,1,functional_pass,0,missing_submission,0,public_failure,0,public_failure,2,6,2/6,hard_tail
urllib3__retry_backoff_core__001,core100,False,Direct,cache_retry_policy,1,functional_pass,1,functional_pass,1,functional_pass,0,missing_submission,1,functional_pass,0,hidden_failure,4,6,4/6,mixed
virtualenv__interpreter_spec_core__hard3_001,hard3,True,Adapted,parse_tokenize_decode,0,public_failure,1,functional_pass,0,hidden_failure,0,missing_submission,0,missing_submission,0,public_failure,1,6,1/6,hard_tail
voluptuous__schema_validate_core__001,core100,False,Direct,validate_normalize_construct,1,functional_pass,1,functional_pass,1,functional_pass,0,missing_submission,1,functional_pass,0,hidden_failure,4,6,4/6,mixed
websockets__handshake_parse_core__001,core100,False,Adapted,protocol_state_transition,1,functional_pass,1,functional_pass,1,functional_pass,0,missing_submission,0,public_failure,0,hidden_failure,3,6,3/6,mixed
