task_id,split,source_repo,source_commit,source_group_id,repo_archetype_primary,repo_archetype_secondary,repo_provenance,repo_domain_primary,repo_domain_secondary,feature_family_primary,feature_family_secondary,feature_statefulness,entanglement_primary_original,entanglement_types_original,normalized_entanglement_types,behavioral_risk_tags,codebase_condition_tags,reference_file_count,reference_symbol_count,reference_loc,source_entrypoint_count,direct_internal_dependency_count,transitive_internal_dependency_count,external_dependency_count,static_file_closure_depth,resource_file_count,has_dynamic_import,has_global_state,has_registry,has_framework_lifecycle,adapter_required,public_test_count,hidden_test_count,classification_evidence,classification_confidence,review_status,taxonomy_version
build__pyproject_backend_core__hard3_001,hard50,build,6c03264d186ce7a6c9f1e1990408a3a215dc7610,build,developer_tooling,,real_oss_mature,packaging,,validate_normalize_construct,,stateless,data_model_coupling,config_environment_coupling;data_model_coupling,config_environment;data_model_invariant;static_transitive_dependency,boundary_cases;exception_semantics;lifecycle_semantics,,2,2,412,1,1,0,3,1,0,false,false,false,false,NA,1,2,benchmark/tasks/build__pyproject_backend_core__hard3_001/metadata.json;benchmark/tasks/build__pyproject_backend_core__hard3_001/evaluation/oracle_manifest.json;benchmark/tasks/build__pyproject_backend_core__hard3_001/public_tests/test_public_contract.py;benchmark/tasks/build__pyproject_backend_core__hard3_001/hidden_tests/test_hidden_contract.py;benchmark/tasks/build__pyproject_backend_core__hard3_001/repo/src/build/_builder.py,medium,ai_assisted_reviewed_v1,v1
cachetools__cache_eviction_core__001,core100,cachetools,48284d73d0a8834c9c50f8d41bb99e6f93b2dfed,cachetools,library,,real_oss_mature,general_utility,,cache_retry_policy,,stateless,data_model_coupling,data_model_coupling;global_state_registry_coupling;parser_state_coupling,data_model_invariant;global_state_registry;parser_state;static_transitive_dependency,boundary_cases;exception_semantics;mutation_side_effects,,3,NA,887,6,2,0,1,1,0,false,true,false,true,NA,3,7,benchmark/tasks/cachetools__cache_eviction_core__001/metadata.json;benchmark/tasks/cachetools__cache_eviction_core__001/evaluation/oracle_manifest.json;benchmark/tasks/cachetools__cache_eviction_core__001/public_tests/test_public_api.py;benchmark/tasks/cachetools__cache_eviction_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/cachetools__cache_eviction_core__001/repo/src/cachetools/__init__.py;benchmark/tasks/cachetools__cache_eviction_core__001/repo/src/cachetools/keys.py,high,reviewed_v1,v1
cattrs__structure_core__001,core100,cattrs,5dc43b3f3887f443a58c61d7c89650357c236d51,cattrs,library,,real_oss_mature,data_modeling,,serialize_format_render,,lifecycle_state,data_model_coupling,data_model_coupling;framework_coupling;implicit_dependency_coupling;third_party_dependency_coupling,data_model_invariant;framework_lifecycle;implicit_runtime_dependency;static_transitive_dependency;third_party_contract,boundary_cases;exception_semantics;lifecycle_semantics,weak_module_boundaries,13,NA,3127,10,13,0,4,1,0,false,false,true,true,NA,3,6,benchmark/tasks/cattrs__structure_core__001/metadata.json;benchmark/tasks/cattrs__structure_core__001/evaluation/oracle_manifest.json;benchmark/tasks/cattrs__structure_core__001/public_tests/test_public_api.py;benchmark/tasks/cattrs__structure_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/cattrs__structure_core__001/repo/cattrs/__init__.py;benchmark/tasks/cattrs__structure_core__001/repo/cattrs/_compat.py;benchmark/tasks/cattrs__structure_core__001/repo/cattrs/converters.py,high,reviewed_v1,v1
celery__signal_dispatch_core__hard3_001,hard50,celery,201573a11fb8c6cf8f712deea3b23142146b2cbb,celery,framework_plugin,,real_oss_mature,application,,registry_plugin_dispatch,,global_state,framework_coupling,framework_coupling;global_state_registry_coupling,framework_lifecycle;global_state_registry,mutation_side_effects,,1,1,291,1,0,0,2,0,0,false,true,true,true,NA,1,4,benchmark/tasks/celery__signal_dispatch_core__hard3_001/metadata.json;benchmark/tasks/celery__signal_dispatch_core__hard3_001/evaluation/oracle_manifest.json;benchmark/tasks/celery__signal_dispatch_core__hard3_001/public_tests/test_public_contract.py;benchmark/tasks/celery__signal_dispatch_core__hard3_001/hidden_tests/test_hidden_contract.py;benchmark/tasks/celery__signal_dispatch_core__hard3_001/repo/celery/utils/dispatch/signal.py,high,reviewed_v1,v1
cerberus__schema_validate_core__001,core100,cerberus,f2221c5a901bbf8618efb694ef9364bd0882ac9a,cerberus,library,,real_oss_mature,data_modeling,,validate_normalize_construct,,lifecycle_state,data_model_coupling,data_model_coupling;framework_coupling;implicit_dependency_coupling,data_model_invariant;framework_lifecycle;implicit_runtime_dependency;static_transitive_dependency,boundary_cases;exception_semantics,weak_module_boundaries,6,NA,2615,8,6,0,2,1,0,false,true,true,true,NA,3,5,benchmark/tasks/cerberus__schema_validate_core__001/metadata.json;benchmark/tasks/cerberus__schema_validate_core__001/evaluation/oracle_manifest.json;benchmark/tasks/cerberus__schema_validate_core__001/public_tests/test_public_api.py;benchmark/tasks/cerberus__schema_validate_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/cerberus__schema_validate_core__001/repo/cerberus/__init__.py;benchmark/tasks/cerberus__schema_validate_core__001/repo/cerberus/errors.py;benchmark/tasks/cerberus__schema_validate_core__001/repo/cerberus/schema.py,high,reviewed_v1,v1
chameleon__template_compile_core__001,core100,chameleon,4.6.0-installed-snapshot,chameleon,library,,real_oss_mature,parsing,,serialize_format_render,parse_tokenize_decode,lifecycle_state,parser_state_coupling,framework_coupling;implicit_dependency_coupling;parser_state_coupling,dynamic_import_plugin;framework_lifecycle;implicit_runtime_dependency;parser_state;static_transitive_dependency,boundary_cases,dead_code_distractors,NA,NA,NA,5,17,5,4,4,NA,true,true,true,true,NA,2,3,benchmark/tasks/chameleon__template_compile_core__001/metadata.json;benchmark/tasks/chameleon__template_compile_core__001/evaluation/oracle_manifest.json;benchmark/tasks/chameleon__template_compile_core__001/public_tests/test_public_api.py;benchmark/tasks/chameleon__template_compile_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/chameleon__template_compile_core__001/repo/chameleon/compiler.py;benchmark/tasks/chameleon__template_compile_core__001/repo/chameleon/exc.py;benchmark/tasks/chameleon__template_compile_core__001/repo/chameleon/loader.py,high,reviewed_v1,v1
click__lazy_command_core__hard3_001,hard50,click,16fc00e2f4a2717a521084f193709a6058afc693,click,library,,real_oss_mature,configuration,,registry_plugin_dispatch,,lifecycle_state,framework_coupling,framework_coupling;implicit_dependency_coupling,dynamic_import_plugin;framework_lifecycle;implicit_runtime_dependency,boundary_cases;exception_semantics;mutation_side_effects;platform_variation,,1,2,3032,1,0,0,3,0,0,true,false,true,true,NA,1,3,benchmark/tasks/click__lazy_command_core__hard3_001/metadata.json;benchmark/tasks/click__lazy_command_core__hard3_001/evaluation/oracle_manifest.json;benchmark/tasks/click__lazy_command_core__hard3_001/public_tests/test_public_contract.py;benchmark/tasks/click__lazy_command_core__hard3_001/hidden_tests/test_hidden_contract.py;benchmark/tasks/click__lazy_command_core__hard3_001/repo/src/click/core.py,high,reviewed_v1,v1
click__option_parser__001,core100,click,8.1.7-installed-snapshot,click,library,,real_oss_mature,configuration,,parse_tokenize_decode,workflow_session_orchestration,lifecycle_state,framework_coupling,config_environment_coupling;framework_coupling;global_state_registry_coupling;implicit_dependency_coupling,config_environment;framework_lifecycle;global_state_registry;implicit_runtime_dependency;static_transitive_dependency,boundary_cases;exception_semantics;lifecycle_semantics,,NA,NA,NA,9,9,4,3,2,NA,false,true,true,true,NA,1,2,benchmark/tasks/click__option_parser__001/metadata.json;benchmark/tasks/click__option_parser__001/evaluation/oracle_manifest.json;benchmark/tasks/click__option_parser__001/public_tests/test_public_api.py;benchmark/tasks/click__option_parser__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/click__option_parser__001/repo/click/_termui_impl.py;benchmark/tasks/click__option_parser__001/repo/click/core.py;benchmark/tasks/click__option_parser__001/repo/click/decorators.py,high,reviewed_v1,v1
configobj__roundtrip_config_core__001,core100,configobj,b7707c94c0317b8f89b704a01525a68eb6c72521,configobj,library,,real_oss_mature,configuration,,config_resolve_discover,,stateless,config_environment_coupling,config_environment_coupling;parser_state_coupling,config_environment;parser_state;static_transitive_dependency,boundary_cases;exception_semantics,,3,NA,3306,4,2,0,1,1,0,false,true,false,false,NA,3,6,benchmark/tasks/configobj__roundtrip_config_core__001/metadata.json;benchmark/tasks/configobj__roundtrip_config_core__001/evaluation/oracle_manifest.json;benchmark/tasks/configobj__roundtrip_config_core__001/public_tests/test_public_api.py;benchmark/tasks/configobj__roundtrip_config_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/configobj__roundtrip_config_core__001/repo/configobj/__init__.py;benchmark/tasks/configobj__roundtrip_config_core__001/repo/configobj/validate.py,high,reviewed_v1,v1
cookiecutter__repo_finder_core__hard3_001,hard50,cookiecutter,c88fbe921c97c58b65f1883ba90a0ab53cc91b34,cookiecutter,developer_tooling,,real_oss_mature,general_utility,,config_resolve_discover,,stateless,resource_coupling,config_environment_coupling;resource_coupling,config_environment;resource_packaging;static_transitive_dependency,exception_semantics,,2,2,220,1,0,0,1,0,0,false,false,false,false,NA,1,3,benchmark/tasks/cookiecutter__repo_finder_core__hard3_001/metadata.json;benchmark/tasks/cookiecutter__repo_finder_core__hard3_001/evaluation/oracle_manifest.json;benchmark/tasks/cookiecutter__repo_finder_core__hard3_001/public_tests/test_public_contract.py;benchmark/tasks/cookiecutter__repo_finder_core__hard3_001/hidden_tests/test_hidden_contract.py;benchmark/tasks/cookiecutter__repo_finder_core__hard3_001/repo/cookiecutter/repository.py,high,reviewed_v1,v1
coverage__config_merge_core__001,core100,coveragepy,f0dcf65f47120d9f74f6777134d3b8e92515ce6f,coveragepy,developer_tooling,,real_oss_mature,testing,configuration,config_resolve_discover,,lifecycle_state,config_environment_coupling,config_environment_coupling;framework_coupling;implicit_dependency_coupling,config_environment;dynamic_import_plugin;framework_lifecycle;implicit_runtime_dependency;static_transitive_dependency,boundary_cases;lifecycle_semantics;ordering_semantics;platform_variation,weak_module_boundaries,6,NA,1299,3,4,1,0,2,0,true,false,true,true,NA,2,4,benchmark/tasks/coverage__config_merge_core__001/metadata.json;benchmark/tasks/coverage__config_merge_core__001/evaluation/oracle_manifest.json;benchmark/tasks/coverage__config_merge_core__001/public_tests/test_public_api.py;benchmark/tasks/coverage__config_merge_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/coverage__config_merge_core__001/repo/coverage/config.py;benchmark/tasks/coverage__config_merge_core__001/repo/coverage/misc.py,high,reviewed_v1,v1
coverage__glob_matcher_core__001,core100,coveragepy,f0dcf65f47120d9f74f6777134d3b8e92515ce6f,coveragepy,developer_tooling,,real_oss_mature,testing,configuration,config_resolve_discover,,stateless,resource_coupling,config_environment_coupling;implicit_dependency_coupling;resource_coupling,config_environment;implicit_runtime_dependency;static_transitive_dependency,boundary_cases,weak_module_boundaries,5,NA,1043,3,3,1,0,2,0,false,false,false,false,NA,3,4,benchmark/tasks/coverage__glob_matcher_core__001/metadata.json;benchmark/tasks/coverage__glob_matcher_core__001/evaluation/oracle_manifest.json;benchmark/tasks/coverage__glob_matcher_core__001/public_tests/test_public_api.py;benchmark/tasks/coverage__glob_matcher_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/coverage__glob_matcher_core__001/repo/coverage/files.py;benchmark/tasks/coverage__glob_matcher_core__001/repo/coverage/misc.py,medium,ai_assisted_reviewed_v1,v1
coverage__path_remap_core__001,core100,coveragepy,f0dcf65f47120d9f74f6777134d3b8e92515ce6f,coveragepy,developer_tooling,,real_oss_mature,testing,configuration,config_resolve_discover,,stateless,resource_coupling,config_environment_coupling;implicit_dependency_coupling;resource_coupling,config_environment;implicit_runtime_dependency;static_transitive_dependency,boundary_cases;exception_semantics,weak_module_boundaries,5,NA,1043,2,3,1,0,2,0,false,false,false,false,NA,2,4,benchmark/tasks/coverage__path_remap_core__001/metadata.json;benchmark/tasks/coverage__path_remap_core__001/evaluation/oracle_manifest.json;benchmark/tasks/coverage__path_remap_core__001/public_tests/test_public_api.py;benchmark/tasks/coverage__path_remap_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/coverage__path_remap_core__001/repo/coverage/files.py;benchmark/tasks/coverage__path_remap_core__001/repo/coverage/misc.py,medium,ai_assisted_reviewed_v1,v1
coverage__report_core__001,core100,coveragepy,f0dcf65f47120d9f74f6777134d3b8e92515ce6f,coveragepy,developer_tooling,,real_oss_mature,testing,configuration,serialize_format_render,,lifecycle_state,config_environment_coupling,config_environment_coupling;data_model_coupling;framework_coupling,config_environment;data_model_invariant;dynamic_import_plugin;framework_lifecycle;static_transitive_dependency,boundary_cases;lifecycle_semantics,,12,NA,2840,4,8,1,0,2,0,true,true,true,true,NA,2,3,benchmark/tasks/coverage__report_core__001/metadata.json;benchmark/tasks/coverage__report_core__001/evaluation/oracle_manifest.json;benchmark/tasks/coverage__report_core__001/public_tests/test_public_api.py;benchmark/tasks/coverage__report_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/coverage__report_core__001/repo/coverage/files.py;benchmark/tasks/coverage__report_core__001/repo/coverage/misc.py;benchmark/tasks/coverage__report_core__001/repo/coverage/results.py,high,reviewed_v1,v1
coverage__source_selection_core__001,core100,coveragepy,f0dcf65f47120d9f74f6777134d3b8e92515ce6f,coveragepy,developer_tooling,,real_oss_mature,testing,configuration,config_resolve_discover,,stateless,config_environment_coupling,config_environment_coupling;global_state_registry_coupling;implicit_dependency_coupling;resource_coupling,config_environment;dynamic_import_plugin;global_state_registry;implicit_runtime_dependency;resource_packaging;static_transitive_dependency,boundary_cases,weak_module_boundaries,9,NA,2265,2,7,1,2,2,0,true,true,true,false,NA,2,4,benchmark/tasks/coverage__source_selection_core__001/metadata.json;benchmark/tasks/coverage__source_selection_core__001/evaluation/oracle_manifest.json;benchmark/tasks/coverage__source_selection_core__001/public_tests/test_public_api.py;benchmark/tasks/coverage__source_selection_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/coverage__source_selection_core__001/repo/coverage/config.py;benchmark/tasks/coverage__source_selection_core__001/repo/coverage/files.py;benchmark/tasks/coverage__source_selection_core__001/repo/coverage/inorout.py,high,reviewed_v1,v1
croniter__cron_parse_core__001,core100,croniter,dc04395e2291b44a74507919d27a13f922b7f77d,croniter,library,,real_oss_mature,parsing,,protocol_state_transition,parse_tokenize_decode,session_state,parser_state_coupling,config_environment_coupling;implicit_dependency_coupling;parser_state_coupling,config_environment;implicit_runtime_dependency;parser_state;static_transitive_dependency,boundary_cases;exception_semantics,,2,NA,947,5,0,0,2,0,0,false,false,false,false,NA,4,5,benchmark/tasks/croniter__cron_parse_core__001/metadata.json;benchmark/tasks/croniter__cron_parse_core__001/evaluation/oracle_manifest.json;benchmark/tasks/croniter__cron_parse_core__001/public_tests/test_public_api.py;benchmark/tasks/croniter__cron_parse_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/croniter__cron_parse_core__001/repo/croniter/croniter.py,high,reviewed_v1,v1
dataclasses_json__serde_core__001,core100,dataclasses-json,dc63902eeb5e1c5ce1ea4e078c50e0eb9bc1a541,dataclasses_json,library,,real_oss_mature,data_modeling,,serialize_format_render,,lifecycle_state,data_model_coupling,data_model_coupling;framework_coupling;implicit_dependency_coupling,data_model_invariant;framework_lifecycle;implicit_runtime_dependency;static_transitive_dependency,boundary_cases;exception_semantics;lifecycle_semantics;mutation_side_effects,weak_module_boundaries,8,NA,1136,9,6,1,2,2,0,false,false,true,true,NA,4,8,benchmark/tasks/dataclasses_json__serde_core__001/metadata.json;benchmark/tasks/dataclasses_json__serde_core__001/evaluation/oracle_manifest.json;benchmark/tasks/dataclasses_json__serde_core__001/public_tests/test_public_api.py;benchmark/tasks/dataclasses_json__serde_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/dataclasses_json__serde_core__001/repo/dataclasses_json/api.py;benchmark/tasks/dataclasses_json__serde_core__001/repo/dataclasses_json/cfg.py;benchmark/tasks/dataclasses_json__serde_core__001/repo/dataclasses_json/core.py,high,reviewed_v1,v1
dateutil__zone_resolver_core__hard3_001,hard50,dateutil,48bd1af97e71baf8e96fce5b663d589caac8f147,dateutil,library,,real_oss_mature,general_utility,,resource_metadata_loading,,stateless,resource_coupling,parser_state_coupling;resource_coupling,parser_state;resource_packaging;static_transitive_dependency,boundary_cases;exception_semantics;lifecycle_semantics,,2,2,1591,1,0,0,1,0,0,false,true,false,false,NA,1,3,benchmark/tasks/dateutil__zone_resolver_core__hard3_001/metadata.json;benchmark/tasks/dateutil__zone_resolver_core__hard3_001/evaluation/oracle_manifest.json;benchmark/tasks/dateutil__zone_resolver_core__hard3_001/public_tests/test_public_contract.py;benchmark/tasks/dateutil__zone_resolver_core__hard3_001/hidden_tests/test_hidden_contract.py;benchmark/tasks/dateutil__zone_resolver_core__hard3_001/repo/src/dateutil/zoneinfo/__init__.py,high,reviewed_v1,v1
deepdiff__deep_compare_core__001,core100,deepdiff,9.1.0-installed-snapshot,deepdiff,library,,real_oss_mature,general_utility,,algorithm_data_structure,,local_state,data_model_coupling,data_model_coupling;parser_state_coupling,data_model_invariant;parser_state;static_transitive_dependency,boundary_cases,,8,NA,5252,3,6,0,11,1,0,false,false,false,false,NA,2,5,benchmark/tasks/deepdiff__deep_compare_core__001/metadata.json;benchmark/tasks/deepdiff__deep_compare_core__001/evaluation/oracle_manifest.json;benchmark/tasks/deepdiff__deep_compare_core__001/public_tests/test_public_api.py;benchmark/tasks/deepdiff__deep_compare_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/deepdiff__deep_compare_core__001/repo/deepdiff/diff.py;benchmark/tasks/deepdiff__deep_compare_core__001/repo/deepdiff/path.py,high,reviewed_v1,v1
diskcache__eviction_policy_core__hard3_001,hard50,diskcache,ebfa37cd99d7ef716ec452ad8af4b4276a8e2233,diskcache,library,,real_oss_mature,general_utility,,cache_retry_policy,,stateless,resource_coupling,implicit_dependency_coupling;resource_coupling,implicit_runtime_dependency;resource_packaging,mutation_side_effects,,1,2,1950,1,0,0,0,0,0,false,false,false,false,NA,1,3,benchmark/tasks/diskcache__eviction_policy_core__hard3_001/metadata.json;benchmark/tasks/diskcache__eviction_policy_core__hard3_001/evaluation/oracle_manifest.json;benchmark/tasks/diskcache__eviction_policy_core__hard3_001/public_tests/test_public_contract.py;benchmark/tasks/diskcache__eviction_policy_core__hard3_001/hidden_tests/test_hidden_contract.py;benchmark/tasks/diskcache__eviction_policy_core__hard3_001/repo/diskcache/core.py,high,reviewed_v1,v1
